Género,Edad,Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,32,Medellin,4,1127327,1,3,5,vida nocturna,deporte
9,34,Medellin,8,860073,0,3,8,musica,cultura
9,28,Medellin,3,599379,0,4,7,vida nocturna,cultura
9,29,Medellin,7,714070,0,3,8,musica,cultura
9,21,Medellin,7,893542,0,3,7,vida nocturna,cultura
9,26,Medellin,8,795174,0,3,7,vida nocturna,cultura
10,27,Medellin,6,1773100,0,3,5,vida nocturna,cultura
9,34,Medellin,10,2583954,1,3,8,vida nocturna,cultura
9,21,Medellin,9,1297185,0,3,7,musica,cultura
10,28,Medellin,3,1202169,1,3,5,musica,deporte
10,18,Medellin,4,1716638,1,3,5,musica,cultura
10,25,Medellin,7,1532055,0,3,5,musica,cultura
10,31,Medellin,8,948298,0,3,5,musica,cultura
10,25,Medellin,4,1724695,1,3,5,musica,cultura
10,25,Medellin,7,1305373,0,3,5,vida nocturna,cultura
10,21,Medellin,5,1516494,1,3,5,musica,deporte
9,30,Medellin,7,1889374,0,3,8,musica,deporte
10,29,Medellin,4,1154940,1,3,5,vida nocturna,deporte
9,18,Medellin,5,1178366,1,3,8,vida nocturna,deporte
10,22,Medellin,4,1008704,1,3,5,vida nocturna,cultura
10,20,Medellin,6,958582,0,3,5,vida nocturna,cultura
9,18,Medellin,3,659823,0,4,8,musica,cultura
9,32,Medellin,3,590018,0,4,8,musica,deporte
9,24,Medellin,7,1114786,0,3,7,musica,deporte
9,21,Medellin,4,1038793,1,3,8,musica,cultura
10,26,Medellin,5,1091370,1,3,5,vida nocturna,deporte
10,29,Medellin,9,1695688,0,3,5,musica,deporte
9,35,Medellin,10,2274398,0,3,7,vida nocturna,deporte
9,32,Medellin,10,2903078,1,2,8,musica,deporte
9,18,Medellin,6,1633561,0,3,7,vida nocturna,cultura
9,19,Medellin,6,1252141,0,3,8,vida nocturna,deporte
10,30,Medellin,7,1273394,0,3,5,vida nocturna,deporte
10,27,Medellin,9,646842,0,4,5,musica,deporte
9,31,Medellin,7,1386740,0,3,7,musica,cultura
9,19,Medellin,4,1290425,1,3,8,vida nocturna,cultura
10,26,Medellin,6,1352145,0,3,5,vida nocturna,deporte
9,20,Medellin,5,1672435,1,3,7,musica,cultura
9,27,Medellin,8,1429472,0,3,8,vida nocturna,cultura
9,25,Medellin,9,1328169,0,3,7,vida nocturna,deporte
10,25,Medellin,7,1455748,0,3,5,musica,cultura
10,35,Medellin,3,908400,0,3,5,vida nocturna,cultura
9,27,Medellin,8,1563350,0,3,8,vida nocturna,cultura
9,32,Medellin,7,1759881,0,3,7,musica,deporte
10,21,Medellin,3,1223191,1,3,5,vida nocturna,cultura
10,35,Medellin,7,1214211,0,3,5,musica,deporte
9,24,Medellin,6,812309,0,3,7,musica,cultura
9,31,Medellin,3,540330,0,4,8,musica,deporte
9,34,Medellin,4,1220409,1,3,8,musica,deporte
10,24,Medellin,7,714426,0,3,5,musica,deporte
10,24,Medellin,6,533658,0,4,5,vida nocturna,cultura
9,35,Medellin,3,926316,0,3,7,musica,cultura
10,31,Medellin,8,1819430,0,3,5,vida nocturna,deporte
10,29,Medellin,4,882866,0,3,5,musica,deporte
10,24,Medellin,4,1673014,1,3,5,vida nocturna,deporte
9,30,Medellin,3,1399526,1,3,7,musica,cultura
9,31,Medellin,6,1481944,0,3,8,musica,deporte
9,30,Medellin,5,1688729,1,3,7,vida nocturna,cultura
10,31,Medellin,9,1486805,0,3,5,vida nocturna,cultura
9,27,Medellin,10,2632824,1,3,7,vida nocturna,cultura
10,21,Medellin,6,958354,0,3,5,musica,deporte
9,29,Medellin,10,1778131,0,3,7,musica,deporte
10,28,Medellin,10,2484520,0,3,5,musica,cultura
9,19,Medellin,4,605039,0,4,8,vida nocturna,cultura
9,25,Medellin,5,1968848,1,3,8,vida nocturna,cultura
9,32,Medellin,9,576755,0,4,7,musica,cultura
10,23,Medellin,3,687349,0,4,5,musica,cultura
9,31,Medellin,7,789234,0,3,7,vida nocturna,cultura
10,26,Medellin,5,1308298,1,3,5,vida nocturna,cultura
10,34,Medellin,10,1889029,0,3,5,musica,cultura
9,28,Medellin,5,1937610,1,3,7,musica,cultura
9,22,Medellin,3,1266367,1,3,8,musica,cultura
9,30,Medellin,9,1741984,0,3,8,vida nocturna,deporte
9,22,Medellin,5,1178103,1,3,8,musica,cultura
10,23,Medellin,8,1239037,0,3,5,vida nocturna,deporte
9,23,Medellin,3,1677374,1,3,8,musica,deporte
9,33,Medellin,8,643292,0,4,8,musica,cultura
10,28,Medellin,10,1805889,0,3,5,vida nocturna,cultura
10,24,Medellin,3,1987636,1,3,5,vida nocturna,deporte
9,28,Medellin,7,1153739,0,3,8,musica,deporte
9,34,Medellin,5,746938,0,3,8,musica,deporte
10,22,Medellin,7,1029861,0,3,5,vida nocturna,deporte
9,20,Medellin,9,597118,0,4,8,vida nocturna,cultura
10,29,Medellin,7,1261844,0,3,5,vida nocturna,deporte
9,34,Medellin,4,1731623,1,3,8,musica,deporte
10,22,Medellin,7,1678880,0,3,5,musica,cultura
9,22,Medellin,6,1239429,0,3,7,musica,deporte
10,31,Medellin,5,963350,0,3,5,vida nocturna,cultura
9,33,Medellin,4,1953081,1,3,8,vida nocturna,deporte
9,29,Medellin,9,954004,0,3,8,vida nocturna,cultura
10,28,Medellin,4,506598,0,4,5,vida nocturna,deporte
10,27,Medellin,7,1890440,0,3,5,musica,cultura
9,24,Medellin,7,1895867,0,3,7,musica,cultura
10,31,Medellin,8,1908812,0,3,5,musica,cultura
9,18,Medellin,6,1579493,0,3,8,vida nocturna,deporte
10,21,Medellin,7,916178,0,3,5,vida nocturna,deporte
10,31,Medellin,7,609450,0,4,5,musica,cultura
9,35,Medellin,7,888374,0,3,7,musica,cultura
10,29,Medellin,4,858066,0,3,5,musica,cultura
10,27,Medellin,7,1841280,0,3,5,vida nocturna,deporte
10,32,Medellin,3,681113,0,4,5,musica,cultura
10,24,Medellin,3,1645254,1,3,5,vida nocturna,cultura
10,29,Medellin,8,1615570,0,3,5,musica,cultura
10,23,Medellin,4,1652299,1,3,5,musica,cultura
10,33,Medellin,5,1520957,1,3,5,vida nocturna,deporte
9,34,Medellin,5,1674913,1,3,8,vida nocturna,cultura
9,27,Medellin,7,1926108,0,3,7,musica,cultura
10,20,Medellin,10,1472218,0,3,5,vida nocturna,deporte
9,30,Medellin,6,1174972,0,3,8,musica,cultura
10,19,Medellin,5,781398,0,3,5,vida nocturna,cultura
10,21,Medellin,5,1765170,1,3,5,musica,cultura
10,20,Medellin,4,1490679,1,3,5,musica,cultura
10,18,Medellin,5,1402394,1,3,5,vida nocturna,cultura
9,33,Medellin,9,1393941,0,3,8,musica,cultura
10,35,Medellin,6,1315098,0,3,5,musica,cultura
9,28,Medellin,7,633493,0,4,7,musica,deporte
9,25,Medellin,7,1691408,0,3,8,vida nocturna,deporte
10,27,Medellin,10,2797111,1,3,5,vida nocturna,deporte
10,27,Medellin,3,583614,0,4,5,vida nocturna,deporte
10,19,Medellin,4,890304,0,3,5,vida nocturna,cultura
9,26,Medellin,8,1042863,0,3,7,musica,cultura
9,20,Medellin,10,2616856,1,3,8,vida nocturna,cultura
10,22,Medellin,4,545029,0,4,5,musica,cultura
10,33,Medellin,3,1722800,1,3,5,vida nocturna,cultura
9,29,Medellin,9,1544514,0,3,8,musica,cultura
9,26,Medellin,7,1779893,0,3,7,musica,cultura
9,33,Medellin,7,861668,0,3,7,vida nocturna,deporte
10,19,Medellin,4,1679717,1,3,5,musica,deporte
9,24,Medellin,8,1699101,0,3,8,musica,cultura
9,18,Medellin,9,1157737,0,3,8,musica,deporte
9,21,Medellin,9,1852642,0,3,7,vida nocturna,deporte
10,25,Medellin,8,1615105,0,3,5,musica,cultura
10,24,Medellin,3,986371,0,3,5,vida nocturna,deporte
10,28,Medellin,3,1697823,1,3,5,vida nocturna,cultura
10,34,Medellin,5,1790181,1,3,5,musica,cultura
10,19,Medellin,6,1107344,0,3,5,musica,deporte
9,34,Medellin,10,1158335,0,3,8,vida nocturna,cultura
9,34,Medellin,7,589863,0,4,8,vida nocturna,deporte
9,30,Medellin,10,2515548,1,3,7,musica,cultura
9,34,Medellin,10,2066694,0,3,7,vida nocturna,deporte
10,33,Medellin,7,1716433,0,3,5,vida nocturna,deporte
10,27,Medellin,3,1880587,1,3,5,vida nocturna,deporte
10,32,Medellin,3,1274928,1,3,5,vida nocturna,deporte
10,32,Medellin,9,1805426,0,3,5,vida nocturna,deporte
10,28,Medellin,10,2769853,1,3,5,musica,deporte
10,19,Medellin,4,1677663,1,2,5,musica,deporte
9,31,Medellin,3,1192050,1,3,8,musica,cultura
9,19,Medellin,8,1387384,0,3,8,vida nocturna,deporte
10,28,Medellin,3,1113209,1,3,5,musica,cultura
9,18,Medellin,8,524209,0,4,8,musica,deporte
10,19,Medellin,3,1737309,1,3,5,musica,deporte
10,19,Medellin,5,1327235,1,3,5,vida nocturna,cultura
9,30,Medellin,9,1329714,0,3,7,musica,deporte
10,32,Medellin,10,2245458,0,3,5,vida nocturna,cultura
10,19,Medellin,7,1343426,0,3,5,vida nocturna,deporte
9,22,Medellin,8,755032,0,3,8,vida nocturna,cultura
10,33,Medellin,4,1803269,1,3,5,musica,cultura
10,27,Medellin,8,1942959,0,3,5,musica,cultura
10,33,Medellin,10,2307937,0,3,5,musica,deporte
9,23,Medellin,6,1821868,0,3,8,musica,cultura
9,29,Medellin,3,1632425,1,3,8,vida nocturna,cultura
9,31,Medellin,7,1646782,0,3,8,musica,deporte
9,33,Medellin,6,684773,0,4,8,vida nocturna,deporte
10,22,Medellin,7,1903633,0,3,5,vida nocturna,deporte
9,22,Medellin,6,1215155,0,3,8,musica,cultura
10,18,Medellin,5,1990598,1,3,5,musica,cultura
10,32,Medellin,4,1227079,1,3,5,musica,cultura
10,23,Medellin,3,1388429,1,3,5,musica,cultura
9,25,Medellin,9,1315456,0,3,7,musica,deporte
9,35,Medellin,4,1968773,1,3,7,musica,deporte
9,32,Medellin,3,1256073,1,3,8,vida nocturna,cultura
9,24,Medellin,8,1714949,0,3,7,musica,deporte
10,29,Medellin,7,1790207,0,3,5,vida nocturna,cultura
10,35,Medellin,10,1748708,0,3,5,vida nocturna,deporte
9,26,Medellin,4,829102,0,3,8,musica,deporte
10,23,Medellin,3,632440,0,4,5,vida nocturna,cultura
10,30,Medellin,9,826769,0,3,5,vida nocturna,deporte
10,23,Medellin,3,1446761,1,3,5,vida nocturna,deporte
9,26,Medellin,10,1490165,0,3,8,vida nocturna,cultura
9,19,Medellin,4,1320334,1,3,8,vida nocturna,deporte
9,18,Medellin,5,1979430,1,3,8,vida nocturna,deporte
10,32,Medellin,6,1424024,0,3,5,musica,deporte
10,23,Medellin,8,1035138,0,3,5,vida nocturna,cultura
10,28,Medellin,6,811969,0,3,5,vida nocturna,deporte
9,31,Medellin,5,1415070,1,3,7,vida nocturna,deporte
9,31,Medellin,7,1432286,0,3,8,vida nocturna,deporte
10,18,Medellin,7,952098,0,3,5,vida nocturna,deporte
9,26,Medellin,10,1520450,0,3,7,musica,cultura
10,34,Medellin,4,1922510,1,3,5,vida nocturna,deporte
9,34,Medellin,3,1492426,1,3,7,musica,cultura
10,24,Medellin,4,694046,0,4,5,musica,cultura
9,32,Medellin,7,758639,0,3,7,vida nocturna,cultura
9,32,Medellin,9,842141,0,3,8,musica,deporte
9,24,Medellin,9,1971819,0,3,8,musica,deporte
9,26,Medellin,8,1641216,0,3,8,musica,cultura
10,35,Medellin,10,2614377,1,3,5,musica,deporte
10,33,Medellin,4,1531789,1,2,5,musica,deporte
10,29,Medellin,10,1029559,0,3,5,vida nocturna,deporte
9,25,Medellin,6,1021456,0,3,8,musica,cultura
9,23,Medellin,5,1945519,1,3,8,vida nocturna,deporte
9,18,Medellin,8,823545,0,3,8,musica,deporte
10,23,Medellin,4,1182912,1,3,5,musica,deporte
9,19,Medellin,6,1375084,0,3,8,musica,cultura
10,20,Medellin,3,1056390,1,3,5,vida nocturna,deporte
9,31,Medellin,4,1640353,1,3,7,vida nocturna,cultura
10,35,Medellin,6,1734904,0,3,5,musica,cultura
10,23,Medellin,5,868832,0,3,5,vida nocturna,cultura
9,19,Medellin,6,1446558,0,3,7,musica,cultura
10,28,Medellin,6,808472,0,3,5,musica,deporte
9,22,Medellin,9,1171233,0,3,7,musica,deporte
9,25,Medellin,7,851521,0,3,8,musica,deporte
9,23,Medellin,6,1972327,0,3,7,vida nocturna,cultura
9,30,Medellin,3,1123447,1,3,8,musica,cultura
9,28,Medellin,9,781427,0,3,8,vida nocturna,deporte
10,30,Medellin,9,1581132,0,3,5,vida nocturna,cultura
9,32,Medellin,4,1328524,1,3,8,vida nocturna,deporte
9,20,Medellin,4,1275837,1,3,7,musica,deporte
10,29,Medellin,10,1597197,0,3,5,vida nocturna,deporte
10,35,Medellin,10,1910556,0,3,5,musica,cultura
9,32,Medellin,8,1244326,0,3,7,vida nocturna,cultura
9,26,Medellin,6,1842935,0,3,7,musica,deporte
9,34,Medellin,4,1437058,1,3,8,musica,cultura
10,22,Medellin,10,2668213,1,3,5,vida nocturna,cultura
10,28,Medellin,8,751143,0,3,5,musica,deporte
9,22,Medellin,10,2256355,0,3,8,musica,cultura
9,24,Medellin,7,830670,0,3,7,vida nocturna,deporte
9,18,Medellin,6,1726838,0,3,8,vida nocturna,cultura
9,34,Medellin,8,1152924,0,3,8,musica,cultura
9,24,Medellin,4,1509028,1,3,7,musica,deporte
10,23,Medellin,9,1175272,0,3,5,musica,deporte
9,18,Medellin,4,656402,0,4,8,musica,deporte
10,20,Medellin,4,598733,0,4,5,musica,deporte
10,20,Medellin,3,914264,0,3,5,musica,deporte
10,23,Medellin,9,739109,0,3,5,vida nocturna,deporte
10,18,Medellin,9,752847,0,3,5,vida nocturna,cultura
9,30,Medellin,6,656553,0,4,8,musica,deporte
10,21,Medellin,8,1371660,0,3,5,musica,cultura
10,22,Medellin,3,1776245,1,3,5,musica,deporte
9,20,Medellin,10,2171720,0,3,8,vida nocturna,cultura
9,34,Medellin,10,1034469,0,3,8,vida nocturna,cultura
9,26,Medellin,9,1058150,0,3,8,musica,cultura
10,31,Medellin,5,1109783,1,3,5,vida nocturna,cultura
10,23,Medellin,6,618582,0,4,5,vida nocturna,cultura
10,34,Medellin,8,1128630,0,3,5,musica,cultura
9,30,Medellin,3,1811786,1,3,8,vida nocturna,cultura
9,18,Medellin,6,1318228,0,3,7,vida nocturna,cultura
10,29,Medellin,7,1433761,0,3,5,vida nocturna,cultura
9,30,Medellin,8,1479377,0,3,8,vida nocturna,deporte
9,25,Medellin,4,1025713,1,3,8,vida nocturna,cultura
10,29,Medellin,10,2489851,0,3,5,musica,deporte
9,28,Medellin,5,1209279,1,2,8,vida nocturna,cultura
9,28,Medellin,3,1788637,1,3,7,musica,cultura
9,22,Medellin,6,626343,0,4,8,musica,cultura
10,33,Medellin,9,529506,0,4,5,vida nocturna,deporte
9,25,Medellin,9,1453441,0,3,7,musica,deporte
10,27,Medellin,6,1964635,0,3,5,musica,deporte
9,22,Medellin,7,620052,0,4,7,vida nocturna,cultura
9,27,Medellin,10,2306456,0,3,8,vida nocturna,deporte
10,26,Medellin,4,843936,0,3,5,vida nocturna,deporte
10,33,Medellin,4,1526463,1,3,5,vida nocturna,cultura
10,33,Medellin,10,1031543,0,3,5,vida nocturna,cultura
10,30,Medellin,6,897748,0,3,5,vida nocturna,deporte
9,19,Medellin,6,1959316,0,3,7,musica,cultura
10,25,Medellin,6,1617072,0,3,5,vida nocturna,cultura
9,24,Medellin,5,1572178,1,3,8,musica,cultura
10,32,Medellin,6,1603149,0,3,5,musica,cultura
10,27,Medellin,5,558251,0,4,5,musica,deporte
10,34,Medellin,4,1345209,1,3,5,musica,deporte
10,31,Medellin,8,772014,0,3,5,vida nocturna,cultura
9,23,Medellin,9,958402,0,3,7,vida nocturna,deporte
10,29,Medellin,6,1079524,0,3,5,musica,deporte
10,32,Medellin,7,685441,0,4,5,vida nocturna,cultura
9,31,Medellin,7,1876151,0,3,8,musica,cultura
10,24,Medellin,6,990874,0,3,5,musica,cultura
10,27,Medellin,3,1856344,1,3,5,musica,cultura
9,28,Medellin,3,1863749,1,3,8,musica,deporte
10,18,Medellin,4,1101558,1,3,5,vida nocturna,cultura
10,23,Medellin,6,725438,0,3,5,musica,cultura
9,27,Medellin,9,1670593,0,3,8,musica,deporte
10,19,Medellin,10,2310624,0,3,5,musica,deporte
10,20,Medellin,4,673932,0,4,5,musica,deporte
10,27,Medellin,4,1073694,1,3,5,vida nocturna,cultura
9,33,Medellin,8,538286,0,4,8,musica,deporte
9,23,Medellin,8,1731858,0,3,7,vida nocturna,deporte
10,29,Medellin,7,1272328,0,3,5,vida nocturna,cultura
9,18,Medellin,4,892254,0,3,8,vida nocturna,cultura
9,28,Medellin,10,2111414,0,3,7,musica,cultura
10,28,Medellin,3,1835820,1,2,5,vida nocturna,cultura
9,21,Medellin,7,695533,0,4,7,vida nocturna,cultura
10,26,Medellin,5,1888648,1,3,5,vida nocturna,deporte
10,26,Medellin,10,1876299,0,3,5,vida nocturna,deporte
10,19,Medellin,7,1052590,0,3,5,musica,cultura
10,34,Medellin,9,587570,0,4,5,musica,cultura
9,32,Medellin,8,670866,0,4,7,musica,deporte
10,23,Medellin,3,1669627,1,3,5,musica,deporte
9,24,Medellin,5,1337979,1,3,8,musica,cultura
9,21,Medellin,7,1475736,0,3,8,vida nocturna,cultura
9,35,Medellin,3,1797736,1,3,7,musica,cultura
9,21,Medellin,5,784049,0,3,8,vida nocturna,deporte
9,34,Medellin,5,1843884,1,3,7,musica,deporte
10,23,Medellin,9,1077625,0,3,5,musica,deporte
10,34,Medellin,9,1602430,0,3,5,musica,cultura
9,30,Medellin,10,2885269,1,3,8,musica,cultura
9,18,Medellin,5,1286262,1,2,8,vida nocturna,deporte
10,18,Medellin,6,760631,0,3,5,musica,deporte
9,24,Medellin,9,1046770,0,3,7,vida nocturna,cultura
10,18,Medellin,10,1530612,0,3,5,vida nocturna,deporte
10,20,Medellin,3,1086261,1,3,5,vida nocturna,cultura
10,28,Medellin,9,1543155,0,3,5,vida nocturna,cultura
9,30,Medellin,5,535106,0,4,7,musica,deporte
9,31,Medellin,7,1971053,0,3,8,musica,deporte
9,33,Medellin,6,606807,0,4,7,vida nocturna,cultura
10,21,Medellin,10,2832087,1,3,5,vida nocturna,deporte
9,35,Medellin,9,982281,0,3,8,musica,deporte
10,34,Medellin,7,826759,0,3,5,musica,deporte
9,28,Medellin,4,1722567,1,3,7,vida nocturna,cultura
10,33,Medellin,7,647526,0,4,5,vida nocturna,deporte
9,34,Medellin,9,1580502,0,3,8,vida nocturna,deporte
10,21,Medellin,7,915763,0,3,5,musica,deporte
9,19,Medellin,4,1790737,1,3,8,vida nocturna,deporte
9,23,Medellin,6,1501061,0,3,8,vida nocturna,deporte
9,27,Medellin,5,1740931,1,3,7,vida nocturna,cultura
9,24,Medellin,6,1203272,0,3,8,vida nocturna,cultura
10,33,Medellin,5,1514137,1,3,5,musica,deporte
9,18,Medellin,4,1675244,1,3,8,musica,deporte
10,30,Medellin,4,1287306,1,3,5,vida nocturna,deporte
9,23,Medellin,5,1647056,1,3,8,vida nocturna,cultura
9,29,Medellin,10,2945311,1,3,7,musica,cultura
9,34,Medellin,9,1993886,0,3,7,vida nocturna,cultura
10,35,Medellin,9,1089468,0,3,5,musica,deporte
9,20,Medellin,3,888136,0,3,8,vida nocturna,deporte
10,20,Medellin,9,1105371,0,3,5,musica,cultura
10,23,Medellin,8,1349542,0,3,5,musica,cultura
9,31,Medellin,6,798024,0,3,8,vida nocturna,cultura
9,20,Medellin,5,1054746,1,3,7,musica,deporte
9,21,Medellin,8,843626,0,3,7,musica,deporte
10,20,Medellin,5,1548490,1,3,5,musica,deporte
9,35,Medellin,6,947449,0,3,8,musica,deporte
9,32,Medellin,7,1047128,0,3,7,vida nocturna,cultura
10,32,Medellin,7,1476408,0,3,5,musica,deporte
9,35,Medellin,4,1648739,1,3,8,vida nocturna,cultura
10,30,Medellin,9,1517005,0,3,5,musica,deporte
10,31,Medellin,4,1666549,1,3,5,vida nocturna,cultura
10,19,Medellin,9,1943402,0,3,5,musica,cultura
9,26,Medellin,7,1086257,0,3,8,musica,deporte
10,34,Medellin,3,1561261,1,3,5,musica,deporte
9,22,Medellin,4,1904599,1,3,7,vida nocturna,deporte
9,24,Medellin,6,1123430,0,3,8,vida nocturna,cultura
9,22,Medellin,10,1540065,0,3,8,vida nocturna,cultura
10,35,Medellin,10,1521018,0,3,5,vida nocturna,cultura
9,35,Medellin,10,1221136,0,3,8,vida nocturna,cultura
9,20,Medellin,9,1911797,0,3,7,musica,cultura
9,26,Medellin,9,585812,0,4,8,musica,cultura
9,24,Medellin,7,525261,0,4,8,musica,cultura
10,22,Medellin,10,1776572,0,3,5,vida nocturna,deporte
9,18,Medellin,6,1533027,0,3,8,musica,cultura
9,24,Medellin,5,1796976,1,3,8,vida nocturna,cultura
10,31,Medellin,3,556648,0,4,5,vida nocturna,cultura
9,22,Medellin,10,1909577,0,3,7,musica,cultura
9,18,Medellin,8,1395108,0,3,8,vida nocturna,cultura
9,19,Medellin,7,1152818,0,3,8,musica,cultura
9,31,Medellin,6,1284000,0,3,8,vida nocturna,cultura
9,25,Medellin,10,2942100,1,3,8,musica,deporte
9,21,Medellin,6,648907,0,4,7,musica,deporte
9,28,Medellin,9,984657,0,3,7,vida nocturna,cultura
9,30,Medellin,5,1278155,1,3,7,vida nocturna,deporte
10,31,Medellin,5,1554788,1,3,5,vida nocturna,cultura
9,31,Medellin,4,1725028,1,3,8,musica,cultura
9,31,Medellin,9,682378,0,4,8,musica,deporte
10,28,Medellin,4,647135,0,4,5,vida nocturna,cultura
10,31,Medellin,6,1715982,0,3,5,musica,deporte
10,31,Medellin,8,1008087,0,3,5,musica,deporte
10,19,Medellin,8,794827,0,3,5,musica,deporte
10,35,Medellin,6,1618565,0,3,5,musica,cultura
9,32,Medellin,10,1940500,0,3,8,vida nocturna,cultura
10,18,Medellin,8,927020,0,3,5,musica,deporte
10,32,Medellin,4,1927327,1,3,5,musica,deporte
9,34,Medellin,4,1976655,1,3,7,musica,deporte
10,18,Medellin,4,1856438,1,3,5,musica,deporte
10,22,Medellin,5,1070217,1,3,5,vida nocturna,deporte
9,28,Medellin,8,1138832,0,3,8,musica,cultura
10,32,Medellin,7,1768996,0,3,5,vida nocturna,deporte
9,20,Medellin,8,1909268,0,3,8,vida nocturna,cultura
10,28,Medellin,9,1576661,0,3,5,musica,cultura
9,25,Medellin,5,1592349,1,3,8,musica,deporte
9,20,Medellin,5,1984831,1,3,8,musica,cultura
10,35,Medellin,9,909615,0,3,5,vida nocturna,cultura
10,31,Medellin,6,1510873,0,3,5,musica,cultura
9,30,Medellin,9,686888,0,4,8,musica,cultura
9,23,Medellin,9,860916,0,3,7,vida nocturna,deporte
9,32,Medellin,5,952222,0,3,8,musica,deporte
9,27,Medellin,7,803561,0,3,8,musica,deporte
10,21,Medellin,10,2091441,0,3,5,vida nocturna,deporte
10,28,Medellin,6,1740366,0,3,5,vida nocturna,cultura
9,22,Medellin,6,1890380,0,3,7,vida nocturna,cultura
10,18,Medellin,10,1394129,0,3,5,vida nocturna,deporte
9,20,Medellin,10,2197515,0,3,8,musica,cultura
9,25,Medellin,6,1978403,0,3,7,musica,deporte
9,22,Medellin,8,758223,0,3,7,vida nocturna,deporte
9,21,Medellin,5,1474326,1,3,8,musica,cultura
9,21,Medellin,9,1123636,0,3,8,vida nocturna,cultura
10,24,Medellin,10,2835191,1,3,5,musica,cultura
10,23,Medellin,3,1177328,1,2,5,vida nocturna,deporte
10,30,Medellin,6,1261793,0,3,5,musica,deporte
10,26,Medellin,8,1494233,0,3,5,musica,deporte
10,34,Medellin,4,1081204,1,3,5,vida nocturna,cultura
9,28,Medellin,4,1869126,1,3,7,musica,deporte
9,27,Medellin,7,1579216,0,3,7,musica,cultura
9,23,Medellin,5,1119841,1,3,7,vida nocturna,deporte
9,30,Medellin,8,1888950,0,3,7,musica,deporte
9,23,Medellin,3,1069220,1,3,8,vida nocturna,cultura
9,22,Medellin,7,1058292,0,3,8,vida nocturna,cultura
9,25,Medellin,9,1515299,0,3,8,musica,deporte
9,20,Medellin,4,1281071,1,3,8,musica,cultura
10,24,Medellin,8,628288,0,4,5,musica,deporte
9,31,Medellin,10,2566603,1,3,7,vida nocturna,deporte
10,23,Medellin,3,975932,0,3,5,vida nocturna,cultura
9,21,Medellin,6,853557,0,3,7,musica,cultura
9,23,Medellin,10,2792116,1,3,7,musica,cultura
9,23,Medellin,6,524947,0,4,8,musica,deporte
10,33,Medellin,5,708430,0,3,5,vida nocturna,cultura
10,23,Medellin,9,653065,0,4,5,vida nocturna,deporte
10,23,Medellin,9,1262130,0,3,5,musica,cultura
