Genero,Edad,Destino,Tiempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,39,Medellin,10,2071211,1,3,5,vida nocturna,deporte
10,42,Medellin,5,1463280,1,2,5,vida nocturna,deporte
10,42,Medellin,3,1698235,1,3,5,vida nocturna,cultura
9,18,Medellin,8,1062968,0,3,8,musica,deporte
10,41,Medellin,8,2284672,1,3,5,vida nocturna,cultura
9,21,Medellin,6,2134015,0,3,7,vida nocturna,deporte
10,29,Medellin,3,890716,0,3,5,vida nocturna,deporte
9,34,Medellin,6,2092943,0,3,7,vida nocturna,cultura
10,42,Medellin,6,2776757,1,2,5,vida nocturna,deporte
9,38,Medellin,7,1183724,1,2,8,vida nocturna,cultura
9,24,Medellin,4,942994,0,3,8,vida nocturna,cultura
9,22,Medellin,9,1717203,0,3,7,musica,cultura
9,20,Medellin,6,2554440,1,3,8,musica,cultura
10,26,Medellin,6,2968750,1,2,5,musica,deporte
10,35,Medellin,3,1575817,1,2,5,musica,cultura
9,20,Medellin,9,2137983,0,3,7,vida nocturna,deporte
9,20,Medellin,10,1357817,0,3,7,musica,cultura
10,35,Medellin,9,1747386,0,3,5,vida nocturna,cultura
9,34,Medellin,8,2628305,1,3,7,vida nocturna,deporte
10,18,Medellin,5,2567659,1,2,5,vida nocturna,cultura
9,34,Medellin,9,2658158,1,2,8,musica,cultura
10,45,Medellin,8,2362952,1,2,5,musica,cultura
10,34,Medellin,10,1992650,0,3,5,musica,cultura
9,32,Medellin,4,562076,0,4,8,vida nocturna,deporte
9,38,Medellin,9,2585074,1,3,8,musica,cultura
10,22,Medellin,9,2299261,0,3,5,vida nocturna,cultura
9,25,Medellin,6,1825595,0,3,8,musica,cultura
9,35,Medellin,8,2174021,0,3,7,musica,deporte
9,36,Medellin,7,2056967,1,2,8,vida nocturna,deporte
10,29,Medellin,4,925952,0,3,5,musica,cultura
10,32,Medellin,6,2718850,1,3,5,musica,deporte
9,24,Medellin,4,1066027,1,2,7,musica,cultura
10,41,Medellin,4,1673852,1,3,5,vida nocturna,deporte
9,40,Medellin,3,1932842,1,3,8,musica,cultura
10,37,Medellin,3,877810,0,3,5,musica,cultura
10,20,Medellin,9,1899895,0,3,5,vida nocturna,deporte
9,32,Medellin,4,1935801,1,3,8,musica,deporte
9,22,Medellin,7,1124288,0,3,8,musica,deporte
9,27,Medellin,5,1537963,1,3,7,vida nocturna,deporte
9,26,Medellin,10,2753132,1,3,7,musica,cultura
9,26,Medellin,8,1889315,0,3,8,musica,cultura
9,25,Medellin,5,1008633,1,3,7,musica,cultura
10,42,Medellin,4,818515,0,3,5,vida nocturna,cultura
9,19,Medellin,6,1589079,0,3,7,vida nocturna,deporte
10,37,Medellin,3,1586306,1,3,5,musica,cultura
10,30,Medellin,9,1863995,0,3,5,musica,cultura
9,25,Medellin,3,1956247,1,3,8,vida nocturna,deporte
9,23,Medellin,7,2049891,0,3,8,vida nocturna,cultura
10,37,Medellin,6,1524453,1,2,5,musica,cultura
10,40,Medellin,9,2347761,1,3,5,musica,cultura
10,33,Medellin,8,2959951,1,2,5,musica,cultura
10,43,Medellin,9,1056698,1,2,5,vida nocturna,deporte
10,26,Medellin,10,2965085,1,3,5,vida nocturna,deporte
9,21,Medellin,8,2582706,1,2,8,musica,deporte
9,26,Medellin,3,1967245,1,2,8,musica,cultura
10,29,Medellin,9,1738548,0,3,5,vida nocturna,cultura
10,32,Medellin,6,1859110,0,3,5,vida nocturna,deporte
9,41,Medellin,6,1763435,1,3,8,musica,deporte
9,22,Medellin,6,1723946,0,3,7,musica,deporte
9,39,Medellin,8,1546045,1,3,8,vida nocturna,deporte
9,21,Medellin,4,1802851,1,3,8,musica,deporte
10,29,Medellin,6,1757262,0,3,5,musica,deporte
10,35,Medellin,8,1324754,0,3,5,vida nocturna,cultura
9,41,Medellin,8,2572184,1,3,8,musica,deporte
9,39,Medellin,6,1952316,1,2,8,vida nocturna,cultura
10,44,Medellin,6,1219069,1,3,5,vida nocturna,deporte
9,19,Medellin,4,1122452,1,3,7,musica,cultura
10,30,Medellin,5,2173446,1,3,5,musica,cultura
10,21,Medellin,10,2039608,0,3,5,musica,cultura
10,45,Medellin,8,2875418,1,2,5,musica,cultura
9,18,Medellin,8,2884083,1,2,7,musica,cultura
9,28,Medellin,3,1140793,1,2,7,vida nocturna,deporte
10,28,Medellin,10,2004613,0,3,5,musica,cultura
10,44,Medellin,3,1178806,1,2,5,musica,cultura
10,26,Medellin,7,2129221,0,3,5,vida nocturna,deporte
9,32,Medellin,5,2503570,1,2,7,musica,deporte
9,35,Medellin,3,1232278,1,2,7,vida nocturna,cultura
9,30,Medellin,3,799470,0,3,8,vida nocturna,deporte
10,20,Medellin,4,1597409,1,3,5,vida nocturna,deporte
9,19,Medellin,3,1717150,1,3,7,musica,deporte
9,28,Medellin,9,2445439,0,3,8,musica,cultura
10,30,Medellin,10,2664889,1,2,5,musica,cultura
9,42,Medellin,7,1702662,1,2,7,vida nocturna,cultura
10,34,Medellin,4,990410,0,3,5,musica,cultura
9,25,Medellin,8,1767134,0,3,8,musica,cultura
10,38,Medellin,6,2702216,1,3,5,musica,deporte
10,18,Medellin,8,1353421,0,3,5,musica,deporte
9,25,Medellin,10,2315190,0,3,7,musica,cultura
10,32,Medellin,9,1839800,0,3,5,musica,deporte
9,41,Medellin,6,1470591,1,3,8,musica,cultura
10,20,Medellin,4,694579,0,4,5,musica,cultura
9,45,Medellin,7,1324069,1,3,7,vida nocturna,deporte
10,34,Medellin,5,1106828,1,3,5,musica,cultura
9,19,Medellin,5,2434557,1,3,7,vida nocturna,cultura
9,23,Medellin,8,1896237,0,3,8,musica,deporte
9,32,Medellin,7,2295341,0,3,7,musica,cultura
9,20,Medellin,9,2953162,1,2,7,vida nocturna,deporte
9,24,Medellin,4,1756928,1,2,8,musica,cultura
10,41,Medellin,5,1114931,1,3,5,musica,cultura
9,22,Medellin,3,1669740,1,3,8,vida nocturna,cultura
9,33,Medellin,8,2518336,1,3,7,musica,cultura
10,32,Medellin,8,2389826,0,3,5,vida nocturna,cultura
10,18,Medellin,5,1764856,1,2,5,musica,cultura
10,18,Medellin,3,1109399,1,3,5,vida nocturna,deporte
10,23,Medellin,3,1816940,1,3,5,vida nocturna,cultura
9,39,Medellin,9,2338318,1,3,7,vida nocturna,cultura
9,28,Medellin,3,1244065,1,2,8,vida nocturna,deporte
9,34,Medellin,5,2598332,1,3,8,musica,cultura
10,22,Medellin,5,1070068,1,2,5,vida nocturna,deporte
9,37,Medellin,5,1907697,1,3,7,musica,cultura
10,43,Medellin,6,2366920,1,3,5,musica,cultura
9,21,Medellin,8,1264895,0,3,7,vida nocturna,deporte
9,37,Medellin,5,1449684,1,3,8,vida nocturna,cultura
9,28,Medellin,5,1885206,1,3,7,vida nocturna,deporte
10,24,Medellin,9,1041573,0,3,5,musica,cultura
9,39,Medellin,3,1840941,1,3,8,musica,cultura
9,40,Medellin,6,1256985,1,3,8,musica,cultura
10,28,Medellin,10,1981286,0,3,5,musica,deporte
9,38,Medellin,3,1636711,1,3,8,vida nocturna,cultura
9,32,Medellin,8,1679040,0,3,7,vida nocturna,deporte
9,42,Medellin,6,2612461,1,3,8,musica,cultura
10,41,Medellin,9,2750008,1,2,5,musica,cultura
9,29,Medellin,10,1370196,0,3,7,musica,cultura
10,33,Medellin,4,1403713,1,3,5,vida nocturna,deporte
9,40,Medellin,8,1609160,1,3,7,musica,deporte
10,39,Medellin,4,1465375,1,3,5,vida nocturna,cultura
10,38,Medellin,9,2722098,1,3,5,musica,deporte
10,32,Medellin,9,2053554,0,3,5,vida nocturna,cultura
9,41,Medellin,9,1772240,1,2,7,musica,cultura
9,37,Medellin,10,1214599,1,3,7,vida nocturna,deporte
9,39,Medellin,10,1237436,1,3,7,vida nocturna,deporte
9,30,Medellin,3,1979059,1,3,7,musica,cultura
10,33,Medellin,3,681267,0,4,5,musica,cultura
10,37,Medellin,7,1753053,1,3,5,vida nocturna,cultura
10,24,Medellin,6,1273559,0,3,5,vida nocturna,deporte
9,36,Medellin,6,1436082,1,3,8,vida nocturna,cultura
9,37,Medellin,9,1669959,1,3,7,musica,cultura
9,31,Medellin,5,1614297,1,3,7,musica,deporte
10,40,Medellin,7,2991160,1,3,5,musica,deporte
9,29,Medellin,6,1264897,0,3,7,vida nocturna,deporte
10,24,Medellin,8,2298689,0,3,5,musica,cultura
9,45,Medellin,3,1175749,1,2,8,vida nocturna,deporte
9,32,Medellin,6,2438817,0,3,8,vida nocturna,cultura
9,43,Medellin,6,1436408,1,2,7,vida nocturna,cultura
10,43,Medellin,10,2070537,1,3,5,vida nocturna,deporte
10,28,Medellin,5,1263531,1,2,5,vida nocturna,cultura
10,23,Medellin,6,1212729,0,3,5,vida nocturna,deporte
9,36,Medellin,5,1595695,1,3,7,vida nocturna,deporte
9,39,Medellin,9,2614322,1,3,8,musica,cultura
9,35,Medellin,5,2554068,1,2,8,musica,cultura
9,34,Medellin,7,2045103,0,3,8,musica,cultura
9,33,Medellin,6,2367881,0,3,8,vida nocturna,cultura
10,40,Medellin,9,2810626,1,2,5,musica,cultura
10,22,Medellin,4,1846732,1,2,5,musica,cultura
9,34,Medellin,4,1447081,1,3,8,musica,cultura
10,43,Medellin,3,1804639,1,3,5,musica,cultura
10,27,Medellin,3,1089794,1,3,5,musica,cultura
9,37,Medellin,6,2252051,1,3,8,musica,deporte
10,36,Medellin,10,1910161,1,2,5,vida nocturna,cultura
9,44,Medellin,9,2075276,1,3,7,vida nocturna,deporte
9,31,Medellin,8,2158250,0,3,8,musica,deporte
10,44,Medellin,7,2961783,1,2,5,musica,deporte
9,32,Medellin,6,1234150,0,3,8,vida nocturna,cultura
10,33,Medellin,7,2503897,1,3,5,vida nocturna,cultura
9,18,Medellin,4,1064571,1,2,7,vida nocturna,deporte
9,26,Medellin,7,1297733,0,3,7,musica,cultura
9,39,Medellin,4,956152,0,3,7,musica,deporte
9,33,Medellin,9,1073223,0,3,8,vida nocturna,cultura
9,28,Medellin,6,1372711,0,3,8,musica,deporte
9,20,Medellin,6,2299445,0,3,7,vida nocturna,cultura
9,30,Medellin,3,1519676,1,2,7,vida nocturna,cultura
9,41,Medellin,10,2510214,1,3,7,musica,cultura
10,21,Medellin,8,1315455,0,3,5,musica,cultura
10,18,Medellin,9,1765783,0,3,5,vida nocturna,deporte
9,37,Medellin,3,796878,0,3,8,vida nocturna,cultura
10,18,Medellin,10,2000082,0,3,5,musica,deporte
9,19,Medellin,4,1325612,1,2,8,musica,cultura
10,43,Medellin,6,1363777,1,3,5,musica,deporte
10,29,Medellin,4,1136369,1,3,5,vida nocturna,cultura
10,21,Medellin,5,2067149,1,3,5,musica,deporte
10,19,Medellin,9,1017916,0,3,5,vida nocturna,cultura
9,41,Medellin,9,1590015,1,3,7,vida nocturna,deporte
9,33,Medellin,10,1888598,0,3,8,vida nocturna,deporte
9,21,Medellin,4,1600200,1,3,8,vida nocturna,cultura
9,39,Medellin,6,1663400,1,3,8,vida nocturna,cultura
9,26,Medellin,10,1127050,0,3,8,musica,cultura
9,29,Medellin,5,1484684,1,3,7,vida nocturna,cultura
9,28,Medellin,10,1470559,0,3,8,musica,cultura
10,20,Medellin,5,1346932,1,3,5,vida nocturna,cultura
10,26,Medellin,7,2261102,0,3,5,vida nocturna,cultura
9,24,Medellin,4,548032,0,4,8,musica,cultura
10,44,Medellin,4,1879283,1,3,5,musica,cultura
10,40,Medellin,3,516432,0,4,5,vida nocturna,deporte
9,28,Medellin,9,2603865,1,3,8,musica,deporte
10,20,Medellin,6,1830545,0,3,5,musica,deporte
9,38,Medellin,7,1359006,1,3,7,vida nocturna,cultura
10,31,Medellin,5,2967623,1,3,5,vida nocturna,cultura
9,25,Medellin,10,1338947,0,3,7,vida nocturna,cultura
10,18,Medellin,10,2325381,0,3,5,vida nocturna,cultura
10,20,Medellin,3,580322,0,4,5,vida nocturna,deporte
9,36,Medellin,5,2455393,1,3,7,vida nocturna,cultura
10,45,Medellin,9,2267515,1,2,5,musica,cultura
9,19,Medellin,3,739015,0,3,7,vida nocturna,deporte
9,38,Medellin,4,1251751,1,3,7,vida nocturna,cultura
9,20,Medellin,6,2379085,0,3,8,musica,cultura
10,25,Medellin,3,1522842,1,2,5,musica,cultura
9,44,Medellin,5,2309811,1,3,8,vida nocturna,cultura
10,22,Medellin,3,984665,0,3,5,vida nocturna,cultura
9,41,Medellin,7,1827807,1,3,7,musica,cultura
10,45,Medellin,3,617382,0,4,5,musica,cultura
9,23,Medellin,8,2582845,1,3,8,musica,deporte
9,22,Medellin,6,2644848,1,2,7,vida nocturna,cultura
9,23,Medellin,6,2114704,0,3,8,musica,cultura
9,40,Medellin,6,1363631,1,2,8,vida nocturna,deporte
10,40,Medellin,6,2857870,1,3,5,vida nocturna,cultura
9,21,Medellin,9,1831137,0,3,7,vida nocturna,cultura
9,25,Medellin,9,1720701,0,3,7,vida nocturna,deporte
10,38,Medellin,6,2560401,1,3,5,vida nocturna,deporte
10,32,Medellin,10,2195116,0,3,5,musica,deporte
10,33,Medellin,6,2000406,0,3,5,vida nocturna,deporte
9,32,Medellin,8,2237689,0,3,7,musica,deporte
10,44,Medellin,8,1593317,1,2,5,musica,cultura
9,18,Medellin,8,1364220,0,3,7,vida nocturna,cultura
10,44,Medellin,3,1143181,1,3,5,musica,deporte
9,41,Medellin,7,2482696,1,3,7,vida nocturna,deporte
10,20,Medellin,10,2505600,1,2,5,vida nocturna,deporte
9,19,Medellin,9,2874019,1,2,7,musica,cultura
9,42,Medellin,5,1714417,1,2,8,vida nocturna,deporte
9,35,Medellin,4,1539172,1,3,8,musica,deporte
9,24,Medellin,6,2507076,1,3,8,musica,deporte
9,33,Medellin,10,2358526,0,3,7,musica,deporte
10,36,Medellin,7,2878918,1,2,5,vida nocturna,deporte
10,43,Medellin,3,1721794,1,2,5,vida nocturna,cultura
10,21,Medellin,10,2284150,0,3,5,vida nocturna,deporte
10,40,Medellin,10,1016678,1,2,5,musica,deporte
10,41,Medellin,5,2927779,1,3,5,musica,cultura
10,41,Medellin,5,1806697,1,2,5,vida nocturna,deporte
10,25,Medellin,10,1726768,0,3,5,vida nocturna,deporte
9,29,Medellin,8,1177543,0,3,7,vida nocturna,deporte
9,35,Medellin,10,2417933,0,3,8,musica,cultura
9,38,Medellin,8,2908891,1,2,7,vida nocturna,deporte
9,35,Medellin,3,1773603,1,2,7,vida nocturna,cultura
9,28,Medellin,6,2519515,1,3,8,musica,cultura
10,21,Medellin,4,1325102,1,2,5,vida nocturna,cultura
10,26,Medellin,4,1612589,1,3,5,vida nocturna,deporte
10,30,Medellin,9,1609475,0,3,5,vida nocturna,cultura
9,38,Medellin,6,1714652,1,3,7,musica,deporte
9,38,Medellin,10,2580594,1,3,7,musica,cultura
10,41,Medellin,10,2718413,1,2,5,vida nocturna,cultura
10,44,Medellin,7,2015778,1,2,5,musica,deporte
10,35,Medellin,3,786120,0,3,5,musica,deporte
10,31,Medellin,4,1860357,1,3,5,musica,cultura
10,41,Medellin,7,1138625,1,3,5,musica,cultura
10,31,Medellin,8,1638507,0,3,5,vida nocturna,deporte
9,36,Medellin,8,1250422,1,3,8,vida nocturna,deporte
9,27,Medellin,5,1196616,1,3,8,vida nocturna,deporte
10,37,Medellin,6,2634922,1,3,5,vida nocturna,deporte
9,37,Medellin,3,1618936,1,2,7,vida nocturna,deporte
9,26,Medellin,7,2299675,0,3,8,musica,deporte
10,18,Medellin,10,1317241,0,3,5,musica,cultura
9,36,Medellin,8,2579727,1,3,7,vida nocturna,cultura
9,24,Medellin,4,1989078,1,2,7,musica,deporte
10,19,Medellin,6,2532805,1,3,5,vida nocturna,deporte
10,34,Medellin,5,1815669,1,2,5,musica,deporte
10,37,Medellin,3,838128,0,3,5,vida nocturna,deporte
10,36,Medellin,9,2638085,1,3,5,vida nocturna,cultura
9,22,Medellin,5,2734180,1,2,8,musica,deporte
10,36,Medellin,10,1733627,1,2,5,vida nocturna,deporte
9,30,Medellin,4,685736,0,4,8,musica,deporte
10,43,Medellin,9,1189275,1,3,5,vida nocturna,cultura
9,43,Medellin,7,1517498,1,3,7,vida nocturna,cultura
10,43,Medellin,8,1949258,1,3,5,vida nocturna,cultura
9,23,Medellin,7,1976912,0,3,8,musica,cultura
10,34,Medellin,4,1494750,1,3,5,vida nocturna,deporte
9,18,Medellin,4,1056874,1,3,7,vida nocturna,cultura
9,34,Medellin,5,2964485,1,3,8,vida nocturna,cultura
10,37,Medellin,5,2739834,1,2,5,musica,cultura
10,23,Medellin,9,1628906,0,3,5,musica,cultura
9,31,Medellin,5,1726547,1,3,8,musica,deporte
10,26,Medellin,3,1168435,1,3,5,vida nocturna,cultura
9,31,Medellin,8,2851186,1,3,7,musica,deporte
9,27,Medellin,8,2314986,0,3,8,musica,cultura
10,29,Medellin,3,613935,0,4,5,musica,deporte
9,31,Medellin,3,1231083,1,3,8,vida nocturna,cultura
10,31,Medellin,9,2211888,0,3,5,vida nocturna,deporte
10,38,Medellin,7,1484123,1,2,5,musica,cultura
10,45,Medellin,10,2243643,1,3,5,musica,cultura
9,27,Medellin,6,2731925,1,2,8,vida nocturna,deporte
10,34,Medellin,7,1494737,0,3,5,musica,cultura
10,22,Medellin,10,1303232,0,3,5,vida nocturna,deporte
10,24,Medellin,4,531446,0,4,5,vida nocturna,cultura
10,27,Medellin,4,1178348,1,3,5,musica,cultura
10,42,Medellin,10,1947236,1,3,5,musica,cultura
9,35,Medellin,8,1150188,0,3,8,vida nocturna,deporte
10,33,Medellin,8,1385403,0,3,5,musica,deporte
9,25,Medellin,7,2357116,0,3,7,musica,cultura
9,18,Medellin,7,2559461,1,2,7,vida nocturna,deporte
10,41,Medellin,5,1414873,1,2,5,vida nocturna,deporte
9,33,Medellin,10,1499665,0,3,8,musica,cultura
9,45,Medellin,10,2236580,1,3,8,musica,deporte
10,35,Medellin,3,1906370,1,2,5,vida nocturna,deporte
10,38,Medellin,9,2449319,1,3,5,musica,cultura
10,32,Medellin,8,2390353,0,3,5,vida nocturna,deporte
9,29,Medellin,4,1024217,1,2,8,vida nocturna,deporte
10,35,Medellin,7,1338723,0,3,5,vida nocturna,cultura
9,29,Medellin,8,2738239,1,3,7,musica,cultura
9,19,Medellin,6,1623520,0,3,8,vida nocturna,cultura
10,22,Medellin,4,528193,0,4,5,vida nocturna,cultura
10,30,Medellin,4,746543,0,3,5,musica,deporte
9,39,Medellin,10,2800553,1,3,8,vida nocturna,cultura
10,21,Medellin,6,2707344,1,2,5,vida nocturna,deporte
9,27,Medellin,8,1852764,0,3,7,vida nocturna,cultura
10,24,Medellin,9,2462579,0,3,5,vida nocturna,cultura
9,32,Medellin,9,2796915,1,2,8,vida nocturna,cultura
10,41,Medellin,10,2592714,1,2,5,musica,deporte
9,31,Medellin,5,1936319,1,2,7,musica,deporte
10,22,Medellin,10,1339544,0,3,5,vida nocturna,deporte
10,21,Medellin,3,1908215,1,3,5,musica,deporte
9,33,Medellin,10,2205392,0,3,7,musica,cultura
9,29,Medellin,8,1536031,0,3,7,musica,cultura
10,18,Medellin,10,1715967,0,3,5,musica,cultura
9,20,Medellin,9,1335595,0,3,7,vida nocturna,deporte
10,23,Medellin,9,2292418,0,3,5,musica,deporte
10,36,Medellin,7,1231845,1,2,5,vida nocturna,deporte
10,44,Medellin,5,2860328,1,3,5,vida nocturna,cultura
9,45,Medellin,7,2575925,1,2,8,musica,deporte
9,31,Medellin,9,1763931,0,3,7,musica,deporte
9,22,Medellin,7,2222162,0,3,7,musica,cultura
10,36,Medellin,10,1572357,1,2,5,musica,deporte
10,43,Medellin,4,1144220,1,3,5,vida nocturna,cultura
10,41,Medellin,10,1650321,1,3,5,vida nocturna,cultura
10,45,Medellin,9,2882636,1,3,5,vida nocturna,deporte
9,31,Medellin,6,2244861,0,3,8,vida nocturna,deporte
9,32,Medellin,5,2413660,1,2,7,vida nocturna,cultura
9,23,Medellin,6,1225676,0,3,7,vida nocturna,cultura
9,43,Medellin,10,1264668,1,3,8,vida nocturna,deporte
9,33,Medellin,3,1089605,1,3,8,musica,cultura
9,37,Medellin,8,2840686,1,3,8,musica,cultura
9,35,Medellin,6,2771067,1,2,7,vida nocturna,cultura
10,39,Medellin,7,2635314,1,2,5,vida nocturna,cultura
10,42,Medellin,6,2981912,1,2,5,vida nocturna,deporte
10,44,Medellin,3,907344,0,3,5,vida nocturna,deporte
10,39,Medellin,6,2041256,1,3,5,musica,cultura
9,42,Medellin,3,1271385,1,2,8,musica,cultura
9,20,Medellin,3,742234,0,3,7,musica,cultura
10,40,Medellin,4,1770097,1,3,5,musica,cultura
9,19,Medellin,4,1025435,1,3,8,musica,deporte
9,42,Medellin,6,2305755,1,3,8,vida nocturna,cultura
10,24,Medellin,10,2083841,0,3,5,musica,cultura
10,43,Medellin,3,890611,0,3,5,musica,deporte
10,39,Medellin,5,1111191,1,3,5,vida nocturna,cultura
10,26,Medellin,4,1612445,1,3,5,musica,deporte
9,45,Medellin,6,1953014,1,3,8,musica,deporte
9,21,Medellin,9,1514788,0,3,8,musica,deporte
10,34,Medellin,5,2784984,1,3,5,vida nocturna,cultura
10,37,Medellin,8,2188900,1,2,5,vida nocturna,deporte
10,23,Medellin,9,2135314,0,3,5,vida nocturna,deporte
9,28,Medellin,3,833000,0,3,7,musica,deporte
9,33,Medellin,7,1228454,0,3,7,musica,deporte
9,37,Medellin,5,2144313,1,3,7,vida nocturna,deporte
10,43,Medellin,10,1703683,1,2,5,vida nocturna,deporte
9,40,Medellin,4,1787531,1,3,8,vida nocturna,deporte
10,25,Medellin,6,2455273,0,3,5,vida nocturna,deporte
9,36,Medellin,5,2073763,1,2,8,musica,cultura
9,44,Medellin,10,1855855,1,2,8,vida nocturna,cultura
9,38,Medellin,8,1328373,1,3,8,vida nocturna,deporte
9,34,Medellin,3,1536577,1,3,8,musica,deporte
10,42,Medellin,8,2463315,1,3,5,vida nocturna,cultura
10,28,Medellin,8,2782606,1,2,5,musica,deporte
9,33,Medellin,8,2705599,1,2,8,musica,deporte
10,18,Medellin,5,1115727,1,2,5,musica,cultura
9,44,Medellin,8,2348045,1,3,8,musica,deporte
10,32,Medellin,5,1289264,1,2,5,vida nocturna,deporte
10,39,Medellin,8,2640426,1,3,5,vida nocturna,deporte
9,25,Medellin,7,2119195,0,3,7,vida nocturna,cultura
10,41,Medellin,9,1992789,1,2,5,vida nocturna,deporte
10,19,Medellin,10,1318533,0,3,5,vida nocturna,cultura
10,21,Medellin,9,2536007,1,3,5,musica,deporte
9,38,Medellin,4,1898401,1,2,8,musica,deporte
10,35,Medellin,7,2165618,0,3,5,vida nocturna,cultura
9,18,Medellin,5,2084950,1,2,8,musica,cultura
10,45,Medellin,9,2676677,1,2,5,vida nocturna,cultura
10,32,Medellin,3,1829964,1,2,5,vida nocturna,deporte
9,42,Medellin,9,1534527,1,3,7,musica,deporte
9,38,Medellin,5,1695565,1,3,7,musica,deporte
10,33,Medellin,3,1335757,1,3,5,vida nocturna,deporte
10,43,Medellin,6,2211993,1,3,5,vida nocturna,deporte
9,37,Medellin,8,2799180,1,2,7,musica,cultura
9,39,Medellin,5,1205360,1,2,8,vida nocturna,deporte
9,36,Medellin,9,2242461,1,3,7,vida nocturna,deporte
9,24,Medellin,3,1118747,1,2,8,musica,deporte
10,23,Medellin,9,2192704,0,3,5,musica,cultura
9,24,Medellin,5,1242699,1,2,8,vida nocturna,deporte
9,30,Medellin,7,1982011,0,3,8,musica,cultura
10,29,Medellin,5,1128645,1,3,5,musica,cultura
9,38,Medellin,9,2837543,1,3,8,vida nocturna,cultura
9,30,Medellin,9,1830828,0,3,7,musica,cultura
9,26,Medellin,5,2183158,1,3,8,musica,cultura
10,22,Medellin,5,2835130,1,2,5,vida nocturna,cultura
10,22,Medellin,5,2973445,1,2,5,musica,cultura
10,37,Medellin,10,2073259,1,2,5,musica,deporte
10,19,Medellin,8,2498556,0,3,5,musica,cultura
10,42,Medellin,6,1969201,1,2,5,vida nocturna,deporte
10,39,Medellin,6,1487619,1,3,5,vida nocturna,cultura
9,31,Medellin,7,1808170,0,3,7,musica,deporte
10,35,Medellin,4,1236508,1,3,5,musica,deporte
10,22,Medellin,3,1988595,1,3,5,vida nocturna,cultura
10,29,Medellin,3,536858,0,4,5,vida nocturna,deporte
9,40,Medellin,9,2505532,1,3,8,vida nocturna,cultura
10,37,Medellin,9,1230703,1,2,5,musica,cultura
10,31,Medellin,6,1550815,0,3,5,vida nocturna,cultura
9,45,Medellin,8,1726419,1,3,7,vida nocturna,cultura
10,35,Medellin,8,1864403,0,3,5,musica,deporte
9,20,Medellin,10,1381852,0,3,7,vida nocturna,deporte
10,44,Medellin,3,1476400,1,3,5,vida nocturna,cultura
10,32,Medellin,8,1256874,0,3,5,musica,cultura
9,23,Medellin,10,2612128,1,3,7,vida nocturna,deporte
10,39,Medellin,4,1468598,1,2,5,musica,deporte
10,39,Medellin,8,1416825,1,3,5,vida nocturna,deporte
10,31,Medellin,7,2562687,1,3,5,vida nocturna,deporte
9,37,Medellin,5,2413019,1,2,8,musica,deporte
9,33,Medellin,8,2377594,0,3,8,musica,deporte
10,19,Medellin,9,2904758,1,2,5,musica,cultura
10,29,Medellin,3,931370,0,3,5,vida nocturna,cultura
9,37,Medellin,3,1608728,1,3,7,vida nocturna,cultura
10,34,Medellin,3,1807279,1,3,5,musica,cultura
9,45,Medellin,9,2295166,1,3,8,vida nocturna,deporte
10,42,Medellin,3,1422904,1,2,5,musica,cultura
