Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
Medellin,14,1240449,hotel,bus,saludable,vida nocturna,cultura
Medellin,9,1673790,hotel,taxi,saludable,musica,deporte
Medellin,12,1990501,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,732012,hostal,bus,fast food,vida nocturna,deporte
Medellin,15,1480116,hotel,bus,saludable,vida nocturna,deporte
Medellin,6,1691887,hotel,taxi,saludable,musica,cultura
Medellin,19,1950787,hotel,taxi,saludable,musica,deporte
Medellin,17,1533675,hotel,taxi,fast food,musica,cultura
Medellin,10,1562212,hotel,bus,saludable,vida nocturna,cultura
Medellin,16,1860453,hotel,bus,fast food,vida nocturna,deporte
Medellin,15,1559455,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1300317,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1008105,hotel,taxi,saludable,musica,deporte
Medellin,20,1786726,hotel,bus,saludable,vida nocturna,cultura
Medellin,16,1709313,hotel,taxi,saludable,musica,deporte
Medellin,14,1697142,hotel,bus,fast food,musica,deporte
Medellin,5,543526,hostal,pie,fast food,musica,cultura
Medellin,4,974155,hostal,pie,saludable,vida nocturna,deporte
Medellin,16,1121051,hotel,bus,saludable,musica,deporte
Medellin,12,1252894,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,1230054,hotel,taxi,fast food,musica,deporte
Medellin,13,1260098,hotel,taxi,saludable,vida nocturna,deporte
Medellin,3,1875060,hotel,bus,fast food,musica,cultura
Medellin,11,1902355,hotel,taxi,saludable,vida nocturna,cultura
Medellin,6,1409605,hotel,bus,saludable,musica,deporte
Medellin,11,1245766,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,1925183,hotel,bus,fast food,vida nocturna,deporte
Medellin,6,1646819,hotel,bus,fast food,vida nocturna,deporte
Medellin,4,670827,hostal,pie,fast food,vida nocturna,cultura
Medellin,6,1673960,hotel,taxi,saludable,musica,deporte
Medellin,14,1691694,hotel,bus,saludable,musica,deporte
Medellin,16,1227425,hotel,bus,saludable,musica,cultura
Medellin,11,1383368,hotel,bus,saludable,vida nocturna,cultura
Medellin,16,1216414,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,1749236,hotel,bus,saludable,vida nocturna,deporte
Medellin,12,1925635,hotel,bus,saludable,vida nocturna,deporte
Medellin,11,1254464,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1402549,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1799936,hotel,taxi,fast food,musica,deporte
Medellin,14,1042615,hotel,bus,fast food,vida nocturna,cultura
Medellin,8,1105653,hotel,taxi,fast food,musica,cultura
Medellin,13,1605809,hotel,bus,saludable,vida nocturna,deporte
Medellin,3,572848,hostal,pie,fast food,vida nocturna,deporte
Medellin,4,679050,hostal,pie,fast food,musica,cultura
Medellin,6,1310836,hotel,taxi,saludable,musica,cultura
Medellin,19,1210837,hotel,taxi,saludable,vida nocturna,cultura
Medellin,19,1344964,hotel,bus,saludable,vida nocturna,deporte
Medellin,11,1209365,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1236053,hotel,taxi,fast food,vida nocturna,cultura
Medellin,8,971367,hostal,bus,fast food,musica,cultura
Medellin,19,1235780,hotel,bus,saludable,vida nocturna,deporte
Medellin,16,1782617,hotel,bus,saludable,musica,deporte
Medellin,3,1838061,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1160276,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1555864,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1251559,hotel,taxi,saludable,musica,deporte
Medellin,16,1207127,hotel,bus,saludable,vida nocturna,deporte
Medellin,11,1679963,hotel,taxi,saludable,musica,deporte
Medellin,15,1129827,hotel,taxi,fast food,musica,cultura
Medellin,13,1367507,hotel,taxi,saludable,musica,cultura
Medellin,9,1261639,hotel,taxi,fast food,vida nocturna,cultura
Medellin,3,646692,hostal,bus,saludable,vida nocturna,deporte
Medellin,10,1784972,hotel,taxi,saludable,musica,cultura
Medellin,8,527817,hostal,pie,saludable,musica,deporte
Medellin,17,1476114,hotel,taxi,fast food,vida nocturna,deporte
Medellin,9,1520415,hotel,taxi,fast food,musica,cultura
Medellin,17,1411313,hotel,taxi,saludable,musica,cultura
Medellin,6,722391,hostal,bus,saludable,vida nocturna,cultura
Medellin,18,1128295,hotel,bus,saludable,vida nocturna,deporte
Medellin,18,1217338,hotel,bus,fast food,vida nocturna,deporte
Medellin,12,1078880,hotel,taxi,saludable,vida nocturna,cultura
Medellin,11,1609448,hotel,taxi,fast food,musica,cultura
Medellin,18,1373810,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1750432,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1153100,hotel,bus,saludable,musica,deporte
Medellin,4,1651783,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1121051,hotel,bus,fast food,vida nocturna,cultura
Medellin,8,1085350,hotel,taxi,fast food,musica,cultura
Medellin,11,1936027,hotel,taxi,saludable,vida nocturna,cultura
Medellin,3,1367465,hotel,bus,fast food,vida nocturna,deporte
Medellin,8,1525407,hotel,bus,fast food,musica,cultura
Medellin,20,1802234,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1604294,hotel,bus,fast food,vida nocturna,deporte
Medellin,10,1669023,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1188445,hotel,bus,saludable,musica,cultura
Medellin,13,1080090,hotel,taxi,fast food,musica,deporte
Medellin,19,1114144,hotel,bus,fast food,vida nocturna,cultura
Medellin,11,1689576,hotel,taxi,fast food,vida nocturna,deporte
Medellin,11,1789644,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,911714,hostal,bus,fast food,vida nocturna,deporte
Medellin,10,1299482,hotel,bus,saludable,musica,deporte
Medellin,3,1706174,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,1624999,hotel,bus,saludable,vida nocturna,cultura
Medellin,5,1698893,hotel,bus,fast food,vida nocturna,cultura
Medellin,20,1600870,hotel,bus,fast food,musica,deporte
Medellin,11,1743470,hotel,bus,fast food,musica,cultura
Medellin,5,1802048,hotel,taxi,saludable,vida nocturna,deporte
Medellin,6,945797,hostal,bus,fast food,musica,cultura
Medellin,13,1731522,hotel,bus,fast food,musica,deporte
Medellin,17,1268376,hotel,bus,saludable,musica,cultura
Medellin,12,1299091,hotel,bus,fast food,vida nocturna,deporte
Medellin,7,970862,hostal,bus,fast food,vida nocturna,cultura
Medellin,13,1110766,hotel,taxi,fast food,vida nocturna,deporte
Medellin,11,1240790,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1546836,hotel,bus,fast food,musica,deporte
Medellin,9,952706,hostal,bus,saludable,vida nocturna,cultura
Medellin,12,1076129,hotel,bus,fast food,vida nocturna,deporte
Medellin,10,1751132,hotel,bus,saludable,musica,cultura
Medellin,7,927746,hostal,pie,fast food,musica,deporte
Medellin,18,1054681,hotel,bus,fast food,musica,deporte
Medellin,18,1722066,hotel,bus,saludable,musica,cultura
Medellin,11,1906647,hotel,bus,fast food,vida nocturna,cultura
Medellin,6,1566035,hotel,taxi,saludable,musica,cultura
Medellin,3,1488614,hotel,taxi,saludable,vida nocturna,deporte
Medellin,3,1559881,hotel,taxi,fast food,vida nocturna,deporte
Medellin,20,1949461,hotel,taxi,saludable,musica,cultura
Medellin,7,983246,hostal,pie,saludable,vida nocturna,cultura
Medellin,12,1440072,hotel,bus,fast food,vida nocturna,deporte
Medellin,8,1274593,hotel,bus,fast food,vida nocturna,cultura
Medellin,18,1342680,hotel,taxi,saludable,musica,deporte
Medellin,12,1375767,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1177112,hotel,taxi,fast food,musica,deporte
Medellin,8,1230230,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1338848,hotel,taxi,fast food,musica,deporte
Medellin,12,1773996,hotel,bus,saludable,musica,deporte
Medellin,15,1069445,hotel,bus,fast food,musica,cultura
Medellin,14,1334782,hotel,bus,fast food,musica,cultura
Medellin,13,1327290,hotel,bus,saludable,vida nocturna,deporte
Medellin,4,1716364,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,1311828,hotel,taxi,saludable,vida nocturna,deporte
Medellin,13,1081138,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1945373,hotel,bus,saludable,vida nocturna,deporte
Medellin,13,1017771,hotel,bus,fast food,vida nocturna,deporte
Medellin,3,1989200,hotel,bus,saludable,musica,deporte
Medellin,16,1013207,hotel,bus,fast food,musica,cultura
Medellin,7,1300114,hotel,bus,saludable,vida nocturna,cultura
Medellin,13,1330692,hotel,bus,fast food,musica,deporte
Medellin,18,1027790,hotel,bus,fast food,musica,cultura
Medellin,18,1768925,hotel,taxi,fast food,vida nocturna,deporte
Medellin,13,1013943,hotel,taxi,saludable,vida nocturna,deporte
Medellin,11,1935635,hotel,bus,saludable,musica,deporte
Medellin,14,1514274,hotel,taxi,saludable,musica,deporte
Medellin,12,1710993,hotel,taxi,fast food,musica,cultura
Medellin,8,1525013,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,1154312,hotel,taxi,saludable,vida nocturna,deporte
Medellin,15,1074206,hotel,taxi,saludable,vida nocturna,deporte
Medellin,11,1502549,hotel,bus,fast food,musica,deporte
Medellin,13,1717130,hotel,bus,fast food,musica,cultura
Medellin,12,1435950,hotel,bus,fast food,vida nocturna,cultura
Medellin,5,854665,hostal,bus,saludable,vida nocturna,cultura
Medellin,9,792963,hostal,pie,saludable,vida nocturna,deporte
Medellin,14,1410213,hotel,taxi,saludable,musica,cultura
Medellin,13,1229346,hotel,bus,saludable,musica,deporte
Medellin,9,1305167,hotel,bus,saludable,vida nocturna,deporte
Medellin,14,1196780,hotel,taxi,saludable,vida nocturna,deporte
Medellin,3,948667,hostal,pie,fast food,vida nocturna,deporte
Medellin,11,1054619,hotel,bus,saludable,vida nocturna,deporte
Medellin,6,953638,hostal,bus,fast food,vida nocturna,deporte
Medellin,16,1195075,hotel,taxi,saludable,vida nocturna,deporte
Medellin,18,1345554,hotel,bus,saludable,vida nocturna,deporte
Medellin,7,914530,hostal,bus,fast food,vida nocturna,cultura
Medellin,5,1578168,hotel,bus,saludable,musica,deporte
Medellin,17,1488000,hotel,taxi,saludable,musica,cultura
Medellin,6,948914,hostal,pie,saludable,musica,cultura
Medellin,5,1905994,hotel,taxi,fast food,musica,cultura
Medellin,17,1042837,hotel,bus,fast food,musica,cultura
Medellin,11,1187539,hotel,taxi,saludable,musica,deporte
Medellin,17,1202548,hotel,bus,fast food,vida nocturna,deporte
Medellin,12,1346455,hotel,bus,saludable,vida nocturna,deporte
Medellin,3,1250869,hotel,bus,fast food,musica,cultura
Medellin,13,1451472,hotel,bus,fast food,musica,cultura
Medellin,12,1750002,hotel,bus,saludable,vida nocturna,deporte
Medellin,16,1753497,hotel,bus,saludable,musica,cultura
Medellin,9,1226938,hotel,taxi,fast food,musica,cultura
Medellin,19,1230820,hotel,bus,saludable,musica,cultura
Medellin,9,1811716,hotel,taxi,saludable,musica,deporte
Medellin,19,1701323,hotel,bus,fast food,musica,cultura
Medellin,7,730898,hostal,pie,saludable,vida nocturna,deporte
Medellin,18,1014965,hotel,taxi,fast food,vida nocturna,deporte
Medellin,20,1493152,hotel,taxi,saludable,musica,cultura
Medellin,16,1342695,hotel,bus,saludable,musica,deporte
Medellin,10,1428807,hotel,taxi,fast food,musica,cultura
Medellin,6,1558525,hotel,bus,fast food,musica,cultura
Medellin,19,1817899,hotel,taxi,fast food,vida nocturna,deporte
Medellin,7,1791733,hotel,bus,fast food,vida nocturna,cultura
Medellin,11,1672431,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,585528,hostal,bus,fast food,vida nocturna,deporte
Medellin,10,1009814,hotel,taxi,saludable,musica,deporte
Medellin,9,716522,hostal,bus,fast food,vida nocturna,deporte
Medellin,3,581225,hostal,bus,saludable,musica,cultura
Medellin,3,619770,hostal,pie,saludable,vida nocturna,cultura
Medellin,5,860126,hostal,bus,fast food,musica,deporte
Medellin,18,1023177,hotel,taxi,fast food,musica,deporte
Medellin,3,1550248,hotel,bus,fast food,musica,deporte
Medellin,18,1428100,hotel,taxi,fast food,vida nocturna,cultura
Medellin,6,1111728,hotel,taxi,saludable,vida nocturna,cultura
Medellin,15,1711465,hotel,taxi,fast food,vida nocturna,cultura
Medellin,7,880741,hostal,bus,fast food,vida nocturna,cultura
Medellin,10,1058085,hotel,taxi,fast food,musica,cultura
Medellin,14,1860242,hotel,bus,saludable,vida nocturna,cultura
Medellin,8,1337473,hotel,taxi,saludable,vida nocturna,cultura
Medellin,8,1085945,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,1074459,hotel,taxi,fast food,musica,cultura
Medellin,7,1192333,hotel,bus,saludable,musica,cultura
Medellin,8,1788813,hotel,bus,saludable,vida nocturna,deporte
Medellin,16,1162067,hotel,taxi,fast food,musica,deporte
Medellin,14,1731422,hotel,taxi,fast food,vida nocturna,cultura
Medellin,18,1264070,hotel,taxi,saludable,vida nocturna,cultura
Medellin,3,892762,hostal,pie,fast food,vida nocturna,cultura
Medellin,4,1666825,hotel,bus,fast food,musica,deporte
Medellin,20,1162535,hotel,taxi,fast food,musica,cultura
Medellin,15,1848639,hotel,bus,saludable,vida nocturna,cultura
Medellin,18,1249064,hotel,bus,saludable,musica,cultura
Medellin,16,1577845,hotel,bus,fast food,vida nocturna,deporte
Medellin,6,1383019,hotel,bus,fast food,vida nocturna,cultura
Medellin,11,1121163,hotel,bus,saludable,musica,cultura
Medellin,16,1283771,hotel,bus,saludable,musica,cultura
Medellin,7,1238027,hotel,taxi,saludable,vida nocturna,cultura
Medellin,10,1713414,hotel,bus,saludable,musica,deporte
Medellin,13,1977939,hotel,bus,saludable,vida nocturna,cultura
Medellin,20,1459404,hotel,bus,fast food,musica,cultura
Medellin,6,863948,hostal,bus,fast food,musica,deporte
Medellin,19,1503686,hotel,taxi,saludable,musica,deporte
Medellin,15,1784797,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,1872174,hotel,taxi,fast food,musica,deporte
Medellin,4,1851438,hotel,bus,fast food,vida nocturna,deporte
Medellin,5,1675385,hotel,taxi,saludable,musica,cultura
Medellin,6,580266,hostal,bus,saludable,vida nocturna,cultura
Medellin,13,1843216,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1179250,hotel,taxi,saludable,vida nocturna,deporte
Medellin,10,1061409,hotel,bus,saludable,musica,cultura
Medellin,8,565456,hostal,bus,fast food,vida nocturna,deporte
Medellin,3,1480186,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,515926,hostal,bus,saludable,vida nocturna,deporte
Medellin,13,1882358,hotel,bus,saludable,vida nocturna,deporte
Medellin,6,903439,hostal,pie,fast food,vida nocturna,deporte
Medellin,13,1723789,hotel,taxi,fast food,vida nocturna,deporte
Medellin,14,1548842,hotel,bus,saludable,musica,cultura
Medellin,19,1836290,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1044895,hotel,taxi,fast food,musica,cultura
Medellin,8,845905,hostal,pie,saludable,vida nocturna,cultura
Medellin,6,1558176,hotel,bus,saludable,vida nocturna,cultura
Medellin,16,1842871,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1276765,hotel,taxi,saludable,vida nocturna,deporte
Medellin,3,1593692,hotel,taxi,fast food,musica,deporte
Medellin,15,1733011,hotel,taxi,saludable,musica,deporte
Medellin,9,1229115,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,1487686,hotel,taxi,fast food,vida nocturna,deporte
Medellin,9,1274685,hotel,taxi,saludable,vida nocturna,deporte
Medellin,14,1161428,hotel,bus,saludable,musica,deporte
Medellin,8,1963359,hotel,bus,saludable,vida nocturna,deporte
Medellin,8,990660,hostal,bus,fast food,musica,cultura
Medellin,10,1315886,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,1397216,hotel,taxi,saludable,musica,cultura
Medellin,4,1661643,hotel,taxi,saludable,musica,cultura
Medellin,9,1702294,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,1229808,hotel,bus,fast food,musica,cultura
Medellin,12,1513475,hotel,bus,fast food,musica,cultura
Medellin,7,576191,hostal,bus,fast food,vida nocturna,cultura
Medellin,10,1720709,hotel,bus,fast food,vida nocturna,deporte
Medellin,9,1675388,hotel,bus,fast food,musica,deporte
Medellin,8,723437,hostal,pie,saludable,vida nocturna,deporte
Medellin,12,1885573,hotel,taxi,saludable,musica,cultura
Medellin,16,1493321,hotel,taxi,fast food,vida nocturna,cultura
Medellin,9,1507918,hotel,taxi,fast food,musica,cultura
Medellin,6,664068,hostal,bus,saludable,musica,cultura
Medellin,11,1598792,hotel,bus,fast food,musica,cultura
Medellin,15,1470247,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,994920,hostal,pie,fast food,musica,cultura
Medellin,18,1028300,hotel,bus,saludable,musica,cultura
Medellin,14,1644292,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1659305,hotel,bus,fast food,vida nocturna,deporte
Medellin,15,1769857,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1932237,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1265507,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,972255,hostal,pie,fast food,musica,deporte
Medellin,13,1947991,hotel,taxi,fast food,musica,deporte
Medellin,8,1355344,hotel,bus,fast food,musica,cultura
Medellin,6,1256801,hotel,taxi,saludable,vida nocturna,deporte
Medellin,14,1954577,hotel,taxi,saludable,vida nocturna,deporte
Medellin,20,1340048,hotel,taxi,saludable,musica,deporte
Medellin,16,1023433,hotel,bus,saludable,vida nocturna,cultura
Medellin,10,1212343,hotel,bus,fast food,musica,cultura
Medellin,9,1223230,hotel,taxi,saludable,musica,cultura
Medellin,13,1215900,hotel,taxi,fast food,musica,deporte
Medellin,16,1363412,hotel,bus,fast food,vida nocturna,cultura
Medellin,7,1129871,hotel,taxi,saludable,vida nocturna,cultura
Medellin,15,1125851,hotel,bus,saludable,vida nocturna,deporte
Medellin,12,1763170,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1988214,hotel,bus,saludable,vida nocturna,deporte
Medellin,15,1798216,hotel,bus,fast food,musica,deporte
Medellin,16,1842688,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,920308,hostal,bus,fast food,vida nocturna,deporte
Medellin,6,1297805,hotel,taxi,fast food,musica,deporte
Medellin,11,1959395,hotel,taxi,saludable,vida nocturna,cultura
Medellin,12,1681626,hotel,bus,saludable,vida nocturna,deporte
Medellin,17,1886604,hotel,bus,fast food,vida nocturna,cultura
Medellin,15,1915856,hotel,taxi,fast food,musica,deporte
Medellin,4,548271,hostal,pie,saludable,vida nocturna,deporte
Medellin,20,1350697,hotel,taxi,fast food,musica,cultura
Medellin,16,1583219,hotel,bus,saludable,vida nocturna,cultura
Medellin,15,1190095,hotel,taxi,saludable,vida nocturna,cultura
Medellin,17,1281430,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,1835066,hotel,taxi,fast food,vida nocturna,cultura
Medellin,4,550470,hostal,bus,saludable,vida nocturna,cultura
Medellin,20,1296499,hotel,bus,fast food,musica,deporte
Medellin,11,1534915,hotel,taxi,saludable,musica,deporte
Medellin,4,1874547,hotel,taxi,fast food,musica,deporte
Medellin,19,1135432,hotel,bus,fast food,musica,cultura
Medellin,6,1669381,hotel,bus,saludable,vida nocturna,deporte
Medellin,13,1829847,hotel,taxi,saludable,musica,deporte
Medellin,7,1060969,hotel,bus,saludable,vida nocturna,deporte
Medellin,19,1301830,hotel,bus,fast food,musica,cultura
Medellin,5,1649948,hotel,bus,saludable,musica,cultura
Medellin,12,1997320,hotel,bus,saludable,vida nocturna,deporte
Medellin,9,655543,hostal,pie,saludable,vida nocturna,deporte
Medellin,12,1383692,hotel,bus,saludable,vida nocturna,cultura
Medellin,11,1243816,hotel,bus,saludable,vida nocturna,cultura
Medellin,11,1864746,hotel,bus,fast food,vida nocturna,cultura
Medellin,17,1822892,hotel,bus,saludable,musica,cultura
Medellin,18,1326136,hotel,taxi,fast food,musica,cultura
Medellin,8,1647951,hotel,taxi,saludable,vida nocturna,cultura
Medellin,12,1374540,hotel,taxi,saludable,musica,deporte
Medellin,14,1298708,hotel,bus,fast food,vida nocturna,cultura
Medellin,4,1963862,hotel,bus,saludable,musica,deporte
Medellin,20,1248665,hotel,bus,fast food,vida nocturna,deporte
Medellin,9,787565,hostal,pie,saludable,vida nocturna,cultura
Medellin,15,1590967,hotel,bus,fast food,musica,cultura
Medellin,18,1932903,hotel,bus,saludable,vida nocturna,cultura
Medellin,20,1433043,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,955523,hostal,pie,fast food,musica,cultura
Medellin,12,1242409,hotel,bus,saludable,musica,cultura
Medellin,20,1973098,hotel,bus,saludable,musica,deporte
Medellin,6,1858068,hotel,taxi,saludable,vida nocturna,cultura
Medellin,6,1553899,hotel,taxi,fast food,vida nocturna,deporte
Medellin,16,1201078,hotel,taxi,saludable,musica,cultura
Medellin,9,1040291,hotel,bus,saludable,vida nocturna,deporte
Medellin,19,1335595,hotel,bus,saludable,musica,cultura
Medellin,7,1225253,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1073128,hotel,bus,saludable,vida nocturna,cultura
Medellin,17,1309534,hotel,taxi,saludable,musica,deporte
Medellin,10,1703032,hotel,bus,saludable,vida nocturna,cultura
Medellin,10,1591203,hotel,bus,fast food,vida nocturna,cultura
Medellin,12,1024110,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1970428,hotel,taxi,fast food,vida nocturna,deporte
Medellin,14,1844400,hotel,bus,saludable,musica,deporte
Medellin,12,1004348,hotel,taxi,saludable,musica,deporte
Medellin,7,909058,hostal,bus,saludable,musica,deporte
Medellin,16,1551785,hotel,taxi,fast food,musica,cultura
Medellin,6,1411366,hotel,taxi,fast food,vida nocturna,cultura
Medellin,9,1035571,hotel,bus,saludable,musica,cultura
Medellin,20,1653158,hotel,taxi,saludable,musica,deporte
Medellin,3,1446525,hotel,bus,fast food,vida nocturna,deporte
Medellin,14,1255937,hotel,bus,fast food,musica,deporte
Medellin,18,1866649,hotel,bus,saludable,vida nocturna,cultura
Medellin,15,1161090,hotel,bus,fast food,musica,deporte
Medellin,14,1257418,hotel,taxi,fast food,vida nocturna,deporte
Medellin,13,1534482,hotel,bus,saludable,vida nocturna,cultura
Medellin,13,1960626,hotel,bus,saludable,musica,deporte
Medellin,11,1742149,hotel,taxi,saludable,musica,cultura
Medellin,3,783256,hostal,bus,fast food,vida nocturna,deporte
