Genero,Edad,Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,34,Medellin,7,1101813,0,3,5,musica,deporte
10,19,Medellin,6,2341770,0,3,5,musica,deporte
9,19,Medellin,5,1811596,1,2,8,musica,deporte
10,21,Medellin,8,1937177,0,3,5,vida nocturna,cultura
9,25,Medellin,3,1653034,1,3,8,vida nocturna,deporte
10,23,Medellin,10,2002834,0,3,5,vida nocturna,cultura
9,34,Medellin,3,1069329,1,2,8,vida nocturna,cultura
9,35,Medellin,7,1851476,0,3,7,musica,cultura
10,30,Medellin,9,1278137,0,3,5,vida nocturna,cultura
9,30,Medellin,10,1696134,0,3,7,vida nocturna,cultura
9,30,Medellin,10,2379039,0,3,8,vida nocturna,deporte
10,26,Medellin,7,1146947,0,3,5,musica,cultura
10,26,Medellin,3,1647013,1,3,5,musica,deporte
10,25,Medellin,6,2052395,0,3,5,musica,cultura
10,19,Medellin,4,828293,0,3,5,vida nocturna,cultura
10,23,Medellin,3,586737,0,4,5,vida nocturna,deporte
10,19,Medellin,10,2027107,0,3,5,vida nocturna,deporte
9,35,Medellin,3,1050778,1,2,7,vida nocturna,cultura
9,22,Medellin,7,1678509,0,3,7,vida nocturna,deporte
9,22,Medellin,3,1694242,1,3,7,musica,cultura
10,21,Medellin,3,1221667,1,3,5,musica,cultura
9,31,Medellin,10,2673753,1,3,7,musica,deporte
10,20,Medellin,6,2997168,1,2,5,musica,deporte
9,27,Medellin,3,1682457,1,2,8,musica,cultura
9,20,Medellin,7,1565381,0,3,7,musica,cultura
9,25,Medellin,9,2268161,0,3,8,vida nocturna,cultura
9,20,Medellin,8,2157491,0,3,7,musica,cultura
9,29,Medellin,10,1756769,0,3,7,vida nocturna,deporte
9,24,Medellin,7,1236351,0,3,8,musica,deporte
9,19,Medellin,9,1546034,0,3,8,musica,deporte
10,35,Medellin,7,1179830,0,3,5,musica,cultura
9,34,Medellin,3,1394525,1,3,8,musica,cultura
10,25,Medellin,8,1600079,0,3,5,musica,cultura
9,27,Medellin,7,2807229,1,3,8,vida nocturna,cultura
10,20,Medellin,9,2035439,0,3,5,vida nocturna,cultura
9,33,Medellin,8,2916059,1,2,8,vida nocturna,cultura
10,19,Medellin,5,1372470,1,2,5,vida nocturna,cultura
9,33,Medellin,9,2747129,1,3,8,musica,deporte
9,18,Medellin,9,1779406,0,3,7,vida nocturna,cultura
9,23,Medellin,10,1705325,0,3,7,musica,cultura
9,30,Medellin,9,2418685,0,3,7,musica,deporte
10,29,Medellin,7,1572104,0,3,5,musica,deporte
9,28,Medellin,5,2755009,1,3,7,musica,deporte
9,20,Medellin,5,1793597,1,2,7,musica,cultura
10,27,Medellin,7,2886744,1,3,5,vida nocturna,cultura
10,18,Medellin,7,1114100,0,3,5,vida nocturna,cultura
10,29,Medellin,9,1002275,0,3,5,vida nocturna,cultura
10,21,Medellin,3,1825200,1,3,5,musica,deporte
10,27,Medellin,5,1799266,1,3,5,musica,deporte
10,29,Medellin,9,1452193,0,3,5,musica,cultura
10,34,Medellin,4,1627703,1,3,5,vida nocturna,cultura
10,28,Medellin,7,1411072,0,3,5,vida nocturna,deporte
10,19,Medellin,10,2986148,1,3,5,musica,deporte
9,28,Medellin,9,2048914,0,3,7,musica,cultura
9,33,Medellin,5,1399205,1,2,8,musica,deporte
9,23,Medellin,4,1823239,1,3,8,vida nocturna,cultura
10,19,Medellin,3,1805750,1,3,5,musica,deporte
10,34,Medellin,10,1909154,0,3,5,vida nocturna,deporte
9,34,Medellin,6,2805232,1,3,8,vida nocturna,cultura
9,26,Medellin,9,2134418,0,3,7,musica,cultura
9,34,Medellin,9,2084148,0,3,8,musica,cultura
9,20,Medellin,7,1769471,0,3,8,vida nocturna,deporte
10,33,Medellin,9,1367363,0,3,5,vida nocturna,cultura
9,26,Medellin,9,1337242,0,3,7,musica,deporte
9,31,Medellin,7,1015018,0,3,8,musica,cultura
9,27,Medellin,7,1825594,0,3,8,vida nocturna,deporte
9,35,Medellin,3,637010,0,4,7,musica,deporte
9,21,Medellin,4,1936311,1,3,7,musica,deporte
10,26,Medellin,5,2636707,1,3,5,vida nocturna,deporte
9,20,Medellin,8,1005960,0,3,7,vida nocturna,deporte
9,26,Medellin,9,1222646,0,3,8,vida nocturna,cultura
9,20,Medellin,9,2592359,1,3,7,vida nocturna,cultura
10,18,Medellin,3,901672,0,3,5,vida nocturna,cultura
9,23,Medellin,4,1474306,1,3,8,musica,cultura
9,24,Medellin,10,2889992,1,3,8,vida nocturna,cultura
9,22,Medellin,4,1794953,1,2,8,vida nocturna,deporte
10,22,Medellin,5,1298586,1,3,5,musica,deporte
10,31,Medellin,7,1142521,0,3,5,vida nocturna,deporte
10,22,Medellin,10,2842321,1,3,5,vida nocturna,deporte
10,31,Medellin,9,2012453,0,3,5,musica,deporte
9,35,Medellin,8,2551451,1,2,7,vida nocturna,deporte
9,23,Medellin,4,1536074,1,2,7,musica,cultura
10,28,Medellin,6,2715264,1,3,5,musica,deporte
10,18,Medellin,4,647397,0,4,5,vida nocturna,deporte
9,18,Medellin,9,1399977,0,3,7,vida nocturna,cultura
10,23,Medellin,5,1804220,1,3,5,musica,cultura
10,29,Medellin,5,1877969,1,3,5,musica,cultura
9,34,Medellin,7,1060999,0,3,7,musica,cultura
10,27,Medellin,7,2657855,1,3,5,vida nocturna,deporte
9,20,Medellin,8,2763407,1,2,7,musica,deporte
10,24,Medellin,6,1853758,0,3,5,musica,deporte
9,27,Medellin,5,1433607,1,3,8,musica,deporte
9,31,Medellin,3,1807576,1,3,7,vida nocturna,cultura
10,35,Medellin,7,2889334,1,3,5,musica,deporte
9,31,Medellin,4,904068,0,3,7,vida nocturna,deporte
10,35,Medellin,5,2482024,1,3,5,vida nocturna,cultura
9,35,Medellin,9,1628396,0,3,8,musica,deporte
9,24,Medellin,8,2404589,0,3,7,musica,cultura
9,31,Medellin,7,2851317,1,2,8,musica,cultura
9,18,Medellin,3,1287731,1,2,8,musica,deporte
9,31,Medellin,5,1721121,1,3,7,vida nocturna,deporte
9,27,Medellin,7,2046952,0,3,8,musica,cultura
10,31,Medellin,10,2945016,1,2,5,vida nocturna,cultura
9,22,Medellin,3,721462,0,3,8,musica,cultura
9,23,Medellin,3,1300662,1,3,7,musica,cultura
9,21,Medellin,10,1108672,0,3,7,musica,deporte
9,30,Medellin,7,1618098,0,3,7,vida nocturna,deporte
10,23,Medellin,5,1380669,1,3,5,vida nocturna,deporte
10,29,Medellin,7,2752377,1,3,5,musica,deporte
9,21,Medellin,10,2599893,1,2,7,vida nocturna,cultura
9,31,Medellin,5,1052117,1,2,8,vida nocturna,cultura
10,23,Medellin,10,2486754,0,3,5,vida nocturna,cultura
9,22,Medellin,8,2883360,1,2,7,musica,deporte
9,19,Medellin,3,533021,0,4,8,musica,deporte
9,18,Medellin,7,1512622,0,3,7,musica,deporte
10,28,Medellin,4,1920077,1,3,5,musica,cultura
9,35,Medellin,3,1281188,1,3,7,musica,cultura
10,32,Medellin,5,2912923,1,3,5,vida nocturna,cultura
10,33,Medellin,9,1144690,0,3,5,vida nocturna,cultura
10,20,Medellin,7,2394439,0,3,5,musica,deporte
10,21,Medellin,4,935352,0,3,5,musica,cultura
10,18,Medellin,5,2209580,1,3,5,vida nocturna,cultura
9,27,Medellin,7,2496127,0,3,7,musica,deporte
9,31,Medellin,10,2800522,1,2,8,musica,deporte
10,35,Medellin,3,1742269,1,2,5,vida nocturna,deporte
10,30,Medellin,6,2206296,0,3,5,musica,cultura
9,31,Medellin,8,2901128,1,2,8,musica,cultura
9,25,Medellin,8,2789482,1,2,8,vida nocturna,deporte
10,19,Medellin,10,2373469,0,3,5,vida nocturna,cultura
10,29,Medellin,4,1884501,1,2,5,musica,cultura
9,32,Medellin,5,2357240,1,3,8,musica,deporte
10,24,Medellin,8,2860781,1,2,5,vida nocturna,deporte
10,22,Medellin,6,1926049,0,3,5,vida nocturna,cultura
9,25,Medellin,4,1110956,1,3,8,vida nocturna,deporte
10,30,Medellin,10,1028411,0,3,5,vida nocturna,deporte
10,31,Medellin,5,2652592,1,3,5,vida nocturna,deporte
9,18,Medellin,10,1120538,0,3,8,musica,deporte
9,31,Medellin,3,1094165,1,3,7,vida nocturna,cultura
9,26,Medellin,10,1006959,0,3,7,musica,deporte
10,18,Medellin,6,1379090,0,3,5,vida nocturna,deporte
9,22,Medellin,3,1370406,1,3,8,musica,deporte
9,35,Medellin,4,1918216,1,3,8,vida nocturna,deporte
10,35,Medellin,4,850442,0,3,5,vida nocturna,cultura
9,32,Medellin,9,2645791,1,3,7,vida nocturna,cultura
10,24,Medellin,8,2077429,0,3,5,vida nocturna,cultura
9,34,Medellin,4,1090432,1,2,8,vida nocturna,deporte
9,18,Medellin,10,2843955,1,3,8,vida nocturna,cultura
9,24,Medellin,8,1400752,0,3,8,musica,deporte
9,28,Medellin,5,1689390,1,3,7,musica,deporte
9,23,Medellin,3,917302,0,3,7,vida nocturna,cultura
9,22,Medellin,6,2167561,0,3,8,musica,cultura
10,32,Medellin,3,709596,0,3,5,vida nocturna,cultura
10,25,Medellin,6,1471732,0,3,5,vida nocturna,cultura
10,27,Medellin,4,1787959,1,3,5,vida nocturna,cultura
9,34,Medellin,5,2190168,1,3,8,musica,deporte
9,19,Medellin,10,1101198,0,3,8,musica,cultura
10,24,Medellin,8,1221250,0,3,5,musica,cultura
9,30,Medellin,4,1621092,1,3,8,vida nocturna,deporte
10,28,Medellin,10,1434166,0,3,5,vida nocturna,cultura
9,20,Medellin,8,1774714,0,3,7,musica,deporte
10,18,Medellin,8,2897478,1,3,5,musica,deporte
9,26,Medellin,9,1808185,0,3,7,musica,deporte
10,26,Medellin,4,1847552,1,3,5,musica,deporte
9,29,Medellin,6,1371012,0,3,8,musica,deporte
9,29,Medellin,10,2523626,1,3,8,musica,cultura
9,31,Medellin,4,1244610,1,2,8,musica,deporte
9,34,Medellin,6,2842941,1,3,7,vida nocturna,deporte
10,21,Medellin,5,2621066,1,2,5,musica,cultura
9,34,Medellin,9,1530035,0,3,8,vida nocturna,cultura
10,35,Medellin,6,1763230,0,3,5,musica,cultura
9,20,Medellin,4,1565171,1,3,7,musica,cultura
9,33,Medellin,8,1596267,0,3,7,vida nocturna,deporte
9,29,Medellin,10,2422933,0,3,8,vida nocturna,cultura
9,33,Medellin,3,819086,0,3,7,vida nocturna,deporte
10,29,Medellin,3,1045371,1,3,5,vida nocturna,deporte
10,20,Medellin,9,2829432,1,3,5,musica,cultura
9,25,Medellin,6,2161334,0,3,8,vida nocturna,cultura
9,26,Medellin,3,1134614,1,2,8,musica,cultura
10,18,Medellin,4,851888,0,3,5,vida nocturna,cultura
10,35,Medellin,10,2634170,1,3,5,vida nocturna,cultura
9,30,Medellin,4,593653,0,4,8,musica,cultura
9,35,Medellin,7,2186672,0,3,7,vida nocturna,deporte
10,24,Medellin,4,1425669,1,2,5,musica,cultura
9,20,Medellin,7,2880427,1,3,7,vida nocturna,cultura
9,33,Medellin,9,2055392,0,3,8,vida nocturna,deporte
9,26,Medellin,3,1932162,1,2,7,vida nocturna,cultura
9,32,Medellin,7,2720980,1,3,7,vida nocturna,deporte
9,24,Medellin,8,1984021,0,3,8,vida nocturna,cultura
9,25,Medellin,4,1141334,1,3,8,musica,cultura
10,22,Medellin,8,1065497,0,3,5,musica,cultura
10,34,Medellin,3,1214488,1,3,5,musica,cultura
9,18,Medellin,7,2367981,0,3,8,musica,deporte
10,22,Medellin,6,1624156,0,3,5,musica,deporte
9,30,Medellin,3,776425,0,3,8,musica,deporte
9,32,Medellin,5,1108988,1,3,7,musica,deporte
10,28,Medellin,8,2153490,0,3,5,vida nocturna,cultura
9,23,Medellin,8,2820292,1,2,8,vida nocturna,deporte
10,27,Medellin,5,1067330,1,2,5,musica,cultura
10,26,Medellin,5,1109415,1,3,5,musica,cultura
9,26,Medellin,10,1338270,0,3,7,vida nocturna,deporte
9,22,Medellin,10,1923661,0,3,8,musica,cultura
9,19,Medellin,6,1119907,0,3,8,vida nocturna,cultura
10,26,Medellin,4,1685056,1,3,5,musica,cultura
10,21,Medellin,9,1220193,0,3,5,vida nocturna,cultura
10,26,Medellin,9,2489333,0,3,5,vida nocturna,cultura
10,22,Medellin,4,1760471,1,2,5,vida nocturna,cultura
10,30,Medellin,7,1337590,0,3,5,vida nocturna,cultura
9,35,Medellin,4,1492966,1,3,7,vida nocturna,deporte
10,22,Medellin,6,1970491,0,3,5,vida nocturna,cultura
10,27,Medellin,7,2406152,0,3,5,vida nocturna,deporte
10,24,Medellin,7,1022377,0,3,5,musica,deporte
9,28,Medellin,10,2588598,1,3,7,musica,cultura
10,25,Medellin,6,1195055,0,3,5,musica,cultura
10,24,Medellin,4,1691654,1,3,5,vida nocturna,deporte
10,20,Medellin,7,1014290,0,3,5,musica,cultura
10,33,Medellin,8,2073731,0,3,5,vida nocturna,deporte
10,31,Medellin,8,2878566,1,2,5,vida nocturna,deporte
9,23,Medellin,10,2625382,1,2,7,vida nocturna,cultura
10,35,Medellin,6,2263432,0,3,5,musica,cultura
10,24,Medellin,10,2942224,1,2,5,vida nocturna,deporte
10,22,Medellin,10,2056124,0,3,5,musica,cultura
10,33,Medellin,10,2827859,1,2,5,musica,deporte
9,29,Medellin,10,2168943,0,3,7,musica,deporte
9,34,Medellin,10,1977204,0,3,8,vida nocturna,cultura
9,32,Medellin,10,1816228,0,3,8,musica,cultura
10,34,Medellin,10,2086135,0,3,5,musica,deporte
9,28,Medellin,3,1353931,1,2,7,musica,cultura
10,31,Medellin,7,1391175,0,3,5,vida nocturna,deporte
9,24,Medellin,10,2219287,0,3,7,vida nocturna,cultura
10,20,Medellin,3,791227,0,3,5,vida nocturna,deporte
9,26,Medellin,10,1961860,0,3,8,musica,cultura
9,25,Medellin,9,2185057,0,3,7,musica,deporte
10,33,Medellin,9,2783651,1,2,5,musica,cultura
9,20,Medellin,4,1030739,1,2,8,vida nocturna,cultura
9,32,Medellin,7,1629691,0,3,8,vida nocturna,cultura
10,21,Medellin,6,2814966,1,3,5,musica,cultura
9,19,Medellin,3,816459,0,3,8,vida nocturna,deporte
10,25,Medellin,5,1263744,1,3,5,vida nocturna,cultura
10,25,Medellin,8,1733130,0,3,5,musica,deporte
9,30,Medellin,5,2424547,1,3,7,vida nocturna,cultura
9,34,Medellin,6,1210553,0,3,8,vida nocturna,deporte
9,19,Medellin,5,1665452,1,3,8,vida nocturna,deporte
10,27,Medellin,9,2074249,0,3,5,vida nocturna,cultura
9,24,Medellin,3,1550504,1,2,8,vida nocturna,deporte
10,26,Medellin,6,2875021,1,3,5,musica,deporte
9,18,Medellin,10,2943772,1,2,8,vida nocturna,cultura
9,34,Medellin,3,1716365,1,2,7,vida nocturna,deporte
9,20,Medellin,4,1632731,1,3,8,musica,cultura
10,28,Medellin,9,1374232,0,3,5,vida nocturna,deporte
10,32,Medellin,4,1236657,1,3,5,vida nocturna,deporte
10,28,Medellin,5,1444665,1,3,5,vida nocturna,deporte
9,26,Medellin,5,2376387,1,3,7,vida nocturna,cultura
9,25,Medellin,7,1466144,0,3,8,vida nocturna,cultura
9,32,Medellin,7,1352568,0,3,8,musica,deporte
10,27,Medellin,10,2755486,1,3,5,musica,deporte
9,29,Medellin,7,1550465,0,3,8,musica,deporte
9,27,Medellin,4,978427,0,3,7,musica,deporte
10,33,Medellin,5,2063949,1,3,5,vida nocturna,deporte
9,25,Medellin,7,2697970,1,2,8,musica,deporte
9,20,Medellin,5,1940001,1,2,7,musica,cultura
9,24,Medellin,4,1462365,1,3,8,vida nocturna,cultura
10,28,Medellin,4,1424567,1,3,5,musica,deporte
10,21,Medellin,8,1010003,0,3,5,musica,cultura
9,28,Medellin,6,2848064,1,3,7,musica,cultura
9,18,Medellin,8,2509354,1,2,8,musica,cultura
9,20,Medellin,8,2181554,0,3,8,vida nocturna,deporte
9,34,Medellin,10,1195792,0,3,8,vida nocturna,deporte
10,35,Medellin,3,787457,0,3,5,vida nocturna,cultura
10,35,Medellin,7,2457906,0,3,5,musica,deporte
9,25,Medellin,3,1980919,1,2,7,vida nocturna,deporte
10,33,Medellin,3,1504779,1,3,5,musica,deporte
9,30,Medellin,9,1497810,0,3,7,vida nocturna,deporte
10,18,Medellin,7,2519915,1,3,5,musica,deporte
9,25,Medellin,9,1897584,0,3,7,musica,deporte
10,20,Medellin,5,2194657,1,3,5,vida nocturna,deporte
9,27,Medellin,10,1411249,0,3,7,vida nocturna,cultura
10,26,Medellin,7,1330398,0,3,5,musica,cultura
10,27,Medellin,10,2890276,1,3,5,vida nocturna,cultura
9,18,Medellin,6,1677834,0,3,7,vida nocturna,cultura
9,20,Medellin,3,1008594,1,3,7,vida nocturna,cultura
9,23,Medellin,8,2923737,1,3,7,vida nocturna,deporte
9,25,Medellin,4,1578804,1,2,8,vida nocturna,deporte
9,25,Medellin,4,804942,0,3,8,vida nocturna,cultura
10,31,Medellin,10,2656942,1,3,5,vida nocturna,cultura
10,20,Medellin,6,1933207,0,3,5,musica,cultura
10,25,Medellin,9,1934076,0,3,5,musica,cultura
9,26,Medellin,9,1407305,0,3,8,vida nocturna,cultura
10,19,Medellin,9,2638508,1,3,5,vida nocturna,cultura
9,26,Medellin,5,2217383,1,2,7,vida nocturna,cultura
9,20,Medellin,4,1258725,1,2,7,musica,deporte
10,24,Medellin,5,1630040,1,3,5,vida nocturna,cultura
9,20,Medellin,9,2391376,0,3,7,musica,deporte
9,29,Medellin,3,1847177,1,2,8,vida nocturna,cultura
9,27,Medellin,5,2867092,1,3,7,vida nocturna,cultura
9,25,Medellin,9,1401783,0,3,7,vida nocturna,deporte
9,22,Medellin,5,2382216,1,3,7,vida nocturna,cultura
9,28,Medellin,3,859801,0,3,7,musica,deporte
10,26,Medellin,6,1068895,0,3,5,musica,cultura
9,18,Medellin,8,2451111,0,3,8,musica,deporte
9,28,Medellin,10,1428917,0,3,8,musica,cultura
10,19,Medellin,5,1071772,1,3,5,musica,deporte
9,18,Medellin,8,1867832,0,3,7,vida nocturna,deporte
9,28,Medellin,9,2637071,1,3,7,vida nocturna,cultura
10,19,Medellin,6,2044256,0,3,5,vida nocturna,cultura
10,22,Medellin,7,1532209,0,3,5,musica,deporte
10,33,Medellin,6,2513893,1,3,5,musica,deporte
10,31,Medellin,5,2015106,1,2,5,vida nocturna,deporte
10,31,Medellin,8,2227916,0,3,5,musica,cultura
10,20,Medellin,5,1979869,1,2,5,musica,cultura
9,33,Medellin,4,1690934,1,3,8,musica,deporte
10,28,Medellin,10,1372814,0,3,5,vida nocturna,cultura
10,18,Medellin,8,1964688,0,3,5,musica,deporte
9,33,Medellin,4,1939466,1,3,7,musica,deporte
10,30,Medellin,9,1855785,0,3,5,vida nocturna,deporte
9,33,Medellin,8,1868389,0,3,7,musica,deporte
10,28,Medellin,6,1186666,0,3,5,musica,cultura
10,30,Medellin,6,1574023,0,3,5,vida nocturna,deporte
9,35,Medellin,10,2653084,1,3,8,musica,deporte
10,19,Medellin,9,2904513,1,2,5,vida nocturna,cultura
10,27,Medellin,10,2457236,0,3,5,vida nocturna,cultura
10,29,Medellin,6,1709357,0,3,5,vida nocturna,cultura
10,28,Medellin,5,2307882,1,3,5,musica,cultura
10,35,Medellin,6,1870552,0,3,5,vida nocturna,deporte
10,25,Medellin,10,2134682,0,3,5,vida nocturna,cultura
10,21,Medellin,9,1827178,0,3,5,vida nocturna,deporte
9,18,Medellin,6,1609593,0,3,8,vida nocturna,deporte
9,30,Medellin,5,1885846,1,3,8,musica,deporte
10,25,Medellin,9,2273223,0,3,5,vida nocturna,cultura
10,23,Medellin,5,2115871,1,2,5,musica,deporte
9,23,Medellin,7,1831653,0,3,7,musica,deporte
10,29,Medellin,7,2176900,0,3,5,vida nocturna,deporte
9,25,Medellin,9,2019280,0,3,8,vida nocturna,cultura
9,26,Medellin,7,1038033,0,3,7,musica,cultura
10,25,Medellin,8,1315837,0,3,5,musica,cultura
10,20,Medellin,10,2221316,0,3,5,musica,cultura
9,33,Medellin,6,1760807,0,3,7,vida nocturna,deporte
10,33,Medellin,5,2938808,1,3,5,musica,deporte
9,33,Medellin,5,1126044,1,2,7,musica,cultura
10,29,Medellin,4,718433,0,3,5,musica,cultura
10,32,Medellin,7,1787474,0,3,5,musica,deporte
10,20,Medellin,8,2557669,1,3,5,vida nocturna,cultura
9,19,Medellin,5,1779343,1,2,8,musica,deporte
9,28,Medellin,6,1529197,0,3,7,vida nocturna,cultura
9,25,Medellin,3,1039653,1,3,8,musica,cultura
10,21,Medellin,3,1869842,1,3,5,musica,deporte
10,22,Medellin,8,1562109,0,3,5,musica,deporte
9,29,Medellin,9,1189012,0,3,7,vida nocturna,deporte
10,31,Medellin,9,1463188,0,3,5,musica,deporte
9,24,Medellin,10,2836481,1,3,7,musica,deporte
9,29,Medellin,6,1439052,0,3,8,vida nocturna,deporte
10,31,Medellin,8,1174799,0,3,5,vida nocturna,cultura
9,25,Medellin,5,2950216,1,3,8,musica,deporte
9,23,Medellin,9,1357506,0,3,8,musica,deporte
9,23,Medellin,8,2062954,0,3,7,vida nocturna,cultura
10,35,Medellin,5,2510666,1,2,5,musica,deporte
10,25,Medellin,4,1564831,1,2,5,vida nocturna,deporte
10,20,Medellin,7,1791429,0,3,5,vida nocturna,deporte
10,31,Medellin,3,1919694,1,3,5,musica,cultura
10,33,Medellin,4,1905535,1,3,5,vida nocturna,cultura
10,33,Medellin,5,1500082,1,3,5,musica,deporte
9,27,Medellin,9,2943456,1,3,7,musica,deporte
9,29,Medellin,4,1196745,1,2,7,musica,deporte
9,28,Medellin,9,2825437,1,3,7,musica,cultura
10,31,Medellin,5,1847854,1,2,5,musica,deporte
10,34,Medellin,9,2493601,0,3,5,vida nocturna,deporte
10,23,Medellin,3,553134,0,4,5,vida nocturna,deporte
10,23,Medellin,4,1900522,1,3,5,musica,cultura
9,26,Medellin,9,2603297,1,3,7,musica,deporte
10,24,Medellin,9,2551322,1,2,5,musica,cultura
10,29,Medellin,4,1706389,1,2,5,vida nocturna,cultura
9,19,Medellin,10,2965370,1,3,8,musica,cultura
10,19,Medellin,9,2418456,0,3,5,vida nocturna,deporte
9,26,Medellin,3,632061,0,4,8,vida nocturna,cultura
9,26,Medellin,8,2852859,1,3,7,vida nocturna,deporte
10,18,Medellin,10,2663878,1,2,5,vida nocturna,deporte
10,28,Medellin,8,2316750,0,3,5,musica,deporte
10,30,Medellin,9,2246680,0,3,5,vida nocturna,deporte
10,19,Medellin,5,1413578,1,2,5,musica,deporte
10,27,Medellin,8,2429683,0,3,5,vida nocturna,cultura
9,25,Medellin,10,2141484,0,3,8,musica,deporte
10,35,Medellin,6,2562143,1,2,5,musica,cultura
10,19,Medellin,7,1132694,0,3,5,musica,cultura
10,26,Medellin,7,1355941,0,3,5,musica,deporte
9,23,Medellin,8,1851174,0,3,8,vida nocturna,cultura
9,26,Medellin,8,1556997,0,3,8,vida nocturna,deporte
10,28,Medellin,9,2181178,0,3,5,musica,cultura
10,21,Medellin,7,2859436,1,2,5,vida nocturna,cultura
10,23,Medellin,8,1419482,0,3,5,musica,cultura
9,32,Medellin,5,1513737,1,3,8,vida nocturna,deporte
10,19,Medellin,8,2326628,0,3,5,musica,cultura
10,24,Medellin,4,1627958,1,2,5,musica,deporte
10,32,Medellin,10,1597575,0,3,5,vida nocturna,cultura
9,26,Medellin,4,1741470,1,3,8,vida nocturna,deporte
10,25,Medellin,3,1159832,1,3,5,vida nocturna,deporte
9,18,Medellin,6,2582514,1,3,7,musica,cultura
9,34,Medellin,6,2296726,0,3,8,vida nocturna,cultura
10,34,Medellin,8,2000317,0,3,5,musica,deporte
9,28,Medellin,5,2327637,1,2,7,musica,cultura
9,18,Medellin,6,2591463,1,2,8,vida nocturna,cultura
9,32,Medellin,3,1136727,1,2,7,vida nocturna,cultura
9,27,Medellin,7,1364103,0,3,7,vida nocturna,cultura
10,28,Medellin,8,2161114,0,3,5,vida nocturna,deporte
10,21,Medellin,3,671691,0,4,5,vida nocturna,cultura
9,22,Medellin,5,2903614,1,3,8,musica,deporte
10,20,Medellin,6,2387947,0,3,5,musica,deporte
9,33,Medellin,9,1904879,0,3,8,musica,cultura
9,33,Medellin,10,2050710,0,3,7,musica,cultura
10,28,Medellin,9,1217439,0,3,5,musica,deporte
9,23,Medellin,5,2979761,1,3,8,vida nocturna,cultura
9,35,Medellin,10,2857338,1,2,7,musica,cultura
9,25,Medellin,5,1416393,1,2,8,musica,cultura
10,18,Medellin,9,2096378,0,3,5,vida nocturna,deporte
9,27,Medellin,5,2048752,1,2,8,musica,deporte
10,18,Medellin,4,1661359,1,2,5,vida nocturna,cultura
9,33,Medellin,5,1858297,1,3,8,vida nocturna,deporte
